scenario,num_agents,state_dim,mixing_depth,mean_action_budget,conflict_level,rho,competitive_extension,mean_target_overlap,sample_idx,method,query_budget,observable_error,utility_error
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.2673265135735384,6,amplitude_estimation,16,0.0,0.0
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.2673265135735384,6,monte_carlo,16,0.0,0.0
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.2673265135735384,6,amplitude_estimation,32,0.0,0.0
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.2673265135735384,6,monte_carlo,32,0.0,0.0
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.2673265135735384,6,amplitude_estimation,64,0.0,0.0
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.2673265135735384,6,monte_carlo,64,0.0,0.0
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.2673265135735384,6,amplitude_estimation,128,0.0,0.0
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.2673265135735384,6,monte_carlo,128,0.0,0.0
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.2673265135735384,6,amplitude_estimation,256,0.0,0.0
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.2673265135735384,6,monte_carlo,256,0.0,0.0
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.2673265135735384,7,amplitude_estimation,8,0.009246702054097822,0.009246702054097819
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.2673265135735384,7,monte_carlo,8,0.019970006757460943,0.01997000675746094
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.2673265135735384,7,amplitude_estimation,16,0.009246702054097822,0.009246702054097819
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.2673265135735384,7,monte_carlo,16,0.011819835343617222,0.011819835343617219
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.2673265135735384,7,amplitude_estimation,32,0.009246702054097822,0.009246702054097819
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.2673265135735384,7,monte_carlo,32,0.03559500675746094,0.03559500675746094
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.2673265135735384,7,amplitude_estimation,64,0.00947151430270585,0.009471514302705847
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.2673265135735384,7,monte_carlo,64,0.019970006757460943,0.01997000675746094
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.2673265135735384,7,amplitude_estimation,128,0.00012103931684429047,0.00012103931684429026
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.2673265135735384,7,monte_carlo,128,0.008251256757460943,0.00825125675746094
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.2673265135735384,7,amplitude_estimation,256,0.00012103931684429047,0.00012103931684429026
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.2673265135735384,7,monte_carlo,256,0.007711414656382779,0.007711414656382781
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.2673265135735384,8,amplitude_estimation,8,0.0,0.0
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.2673265135735384,8,monte_carlo,8,0.0,0.0
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.2673265135735384,8,amplitude_estimation,16,0.0,0.0
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.2673265135735384,8,monte_carlo,16,0.0,0.0
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.2673265135735384,8,amplitude_estimation,32,0.0,0.0
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.2673265135735384,8,monte_carlo,32,0.0,0.0
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.2673265135735384,8,amplitude_estimation,64,0.0,0.0
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.2673265135735384,8,monte_carlo,64,0.0,0.0
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.2673265135735384,8,amplitude_estimation,128,0.0,0.0
