scenario,num_agents,state_dim,mixing_depth,mean_action_budget,conflict_level,rho,shared_target,competitive_extension,mean_target_overlap,model_name,method,seed,converged,cycle_detected,time_to_stability,trajectory_variance,final_mean_utility
no_mixing_low_conflict,3,8,0,6.0,low,0.85,False,False,0.8183771991306992,mean_field,best_response,310,1,0,13,0.07551063228803885,0.4870721065946884
no_mixing_low_conflict,3,8,0,6.0,low,0.85,False,False,0.8183771991306992,mean_field,projected_gradient,309,1,0,4,1.3318043823105482e-05,-0.20886962140520718
no_mixing_low_conflict,3,8,0,6.0,low,0.85,False,False,0.8183771991306992,mean_field,projected_gradient,310,1,0,4,1.3343047549254392e-05,-0.12474374483202266
no_mixing_low_conflict,3,8,0,6.0,low,0.85,False,False,0.8183771991306992,mean_field,extra_gradient,309,1,0,4,1.3287545785623949e-05,-0.20886103970888767
no_mixing_low_conflict,3,8,0,6.0,low,0.85,False,False,0.8183771991306992,mean_field,extra_gradient,310,1,0,4,1.329260643449296e-05,-0.1247578619317693
no_mixing_low_conflict,3,8,0,6.0,low,0.85,False,False,0.8183771991306992,sampling,best_response,309,1,0,14,0.13112032889231495,0.5252364165741491
no_mixing_low_conflict,3,8,0,6.0,low,0.85,False,False,0.8183771991306992,sampling,best_response,310,1,0,12,0.07880582947012742,0.49801383166868396
no_mixing_low_conflict,3,8,0,6.0,low,0.85,False,False,0.8183771991306992,sampling,projected_gradient,309,1,0,4,1.310019039547263e-05,-0.2281943387017302
no_mixing_low_conflict,3,8,0,6.0,low,0.85,False,False,0.8183771991306992,sampling,projected_gradient,310,1,0,4,1.3905438111401705e-05,-0.1085894024144149
no_mixing_low_conflict,3,8,0,6.0,low,0.85,False,False,0.8183771991306992,sampling,extra_gradient,309,1,0,4,1.306954041506903e-05,-0.2281867873249499
no_mixing_low_conflict,3,8,0,6.0,low,0.85,False,False,0.8183771991306992,sampling,extra_gradient,310,1,0,4,1.3852813502424985e-05,-0.10860611341166389
deep_competitive_high_conflict,3,8,3,6.0,high,0.15,False,True,0.40708102181354344,exact,best_response,409,1,0,12,0.07451560377881465,0.11257528714145741
deep_competitive_high_conflict,3,8,3,6.0,high,0.15,False,True,0.40708102181354344,exact,best_response,410,1,0,14,0.1125681917253754,0.11184689431423295
deep_competitive_high_conflict,3,8,3,6.0,high,0.15,False,True,0.40708102181354344,exact,projected_gradient,409,1,0,4,9.77326227744163e-06,-0.06783200272428916
deep_competitive_high_conflict,3,8,3,6.0,high,0.15,False,True,0.40708102181354344,exact,projected_gradient,410,1,0,4,1.1140009594068424e-05,-0.2970356995166541
deep_competitive_high_conflict,3,8,3,6.0,high,0.15,False,True,0.40708102181354344,exact,extra_gradient,409,1,0,4,9.720225329427355e-06,-0.06784722355400219
deep_competitive_high_conflict,3,8,3,6.0,high,0.15,False,True,0.40708102181354344,exact,extra_gradient,410,1,0,4,1.1093969148881354e-05,-0.2970499479289969
deep_competitive_high_conflict,3,8,3,6.0,high,0.15,False,True,0.40708102181354344,no_mixing,best_response,409,0,0,-1,0.24644626546610948,0.16014321411803026
deep_competitive_high_conflict,3,8,3,6.0,high,0.15,False,True,0.40708102181354344,no_mixing,best_response,410,0,1,-1,0.23905012517582214,0.03263218577899477
deep_competitive_high_conflict,3,8,3,6.0,high,0.15,False,True,0.40708102181354344,no_mixing,projected_gradient,409,1,0,4,8.227683725058667e-06,-0.2562618995279025
deep_competitive_high_conflict,3,8,3,6.0,high,0.15,False,True,0.40708102181354344,no_mixing,projected_gradient,410,1,0,4,1.167601140000311e-05,-0.2536437362346469
deep_competitive_high_conflict,3,8,3,6.0,high,0.15,False,True,0.40708102181354344,no_mixing,extra_gradient,409,1,0,4,8.188126291733797e-06,-0.25627553275777526
deep_competitive_high_conflict,3,8,3,6.0,high,0.15,False,True,0.40708102181354344,no_mixing,extra_gradient,410,1,0,4,1.162081998647858e-05,-0.25366731785006613
deep_competitive_high_conflict,3,8,3,6.0,high,0.15,False,True,0.40708102181354344,aggregate,best_response,409,1,0,13,0.08152694811227339,0.1890537180349057
deep_competitive_high_conflict,3,8,3,6.0,high,0.15,False,True,0.40708102181354344,aggregate,best_response,410,1,0,14,0.08763375950353396,0.18902513739130086
deep_competitive_high_conflict,3,8,3,6.0,high,0.15,False,True,0.40708102181354344,aggregate,projected_gradient,409,1,0,4,8.45052706482818e-06,-0.12124317417992325
deep_competitive_high_conflict,3,8,3,6.0,high,0.15,False,True,0.40708102181354344,aggregate,projected_gradient,410,1,0,4,1.0422197816293358e-05,-0.13857532357845045
deep_competitive_high_conflict,3,8,3,6.0,high,0.15,False,True,0.40708102181354344,aggregate,extra_gradient,409,1,0,4,8.410412421697348e-06,-0.12125655406544655
deep_competitive_high_conflict,3,8,3,6.0,high,0.15,False,True,0.40708102181354344,aggregate,extra_gradient,410,1,0,4,1.0370810320203702e-05,-0.13859178054412225
deep_competitive_high_conflict,3,8,3,6.0,high,0.15,False,True,0.40708102181354344,mean_field,best_response,409,1,0,12,0.07217162333096579,0.10671007876243987
deep_competitive_high_conflict,3,8,3,6.0,high,0.15,False,True,0.40708102181354344,mean_field,best_response,410,1,0,15,0.08990796204259789,0.10679783478009874
deep_competitive_high_conflict,3,8,3,6.0,high,0.15,False,True,0.40708102181354344,mean_field,projected_gradient,409,1,0,4,8.13550051917644e-06,-0.159962307620418
deep_competitive_high_conflict,3,8,3,6.0,high,0.15,False,True,0.40708102181354344,mean_field,projected_gradient,410,1,0,4,1.0396315097682269e-05,-0.26727010007180296
deep_competitive_high_conflict,3,8,3,6.0,high,0.15,False,True,0.40708102181354344,mean_field,extra_gradient,409,1,0,4,8.096295103020374e-06,-0.15997481188434282
deep_competitive_high_conflict,3,8,3,6.0,high,0.15,False,True,0.40708102181354344,mean_field,extra_gradient,410,1,0,4,1.0346355864132843e-05,-0.2672865155424761
deep_competitive_high_conflict,3,8,3,6.0,high,0.15,False,True,0.40708102181354344,sampling,best_response,409,0,1,-1,0.058161998315038016,0.10903668567767315
deep_competitive_high_conflict,3,8,3,6.0,high,0.15,False,True,0.40708102181354344,sampling,best_response,410,0,1,-1,0.06944074650048522,0.0951259332567078
deep_competitive_high_conflict,3,8,3,6.0,high,0.15,False,True,0.40708102181354344,sampling,projected_gradient,409,1,0,4,2.4534085793282684e-05,-0.06430153866159158
deep_competitive_high_conflict,3,8,3,6.0,high,0.15,False,True,0.40708102181354344,sampling,projected_gradient,410,1,0,4,1.2497671908048608e-05,-0.2947359746517762
deep_competitive_high_conflict,3,8,3,6.0,high,0.15,False,True,0.40708102181354344,sampling,extra_gradient,409,1,0,4,0.00012240490368709662,-0.06271854098340363
deep_competitive_high_conflict,3,8,3,6.0,high,0.15,False,True,0.40708102181354344,sampling,extra_gradient,410,1,0,4,1.2465570121471532e-05,-0.29474567239982036
