scenario,num_agents,state_dim,mixing_depth,mean_action_budget,conflict_level,rho,competitive_extension,mean_target_overlap,sample_idx,agent_idx,model_name,accuracy,rank_correlation,exact_best_index,model_best_index
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,15,1,quantum_encoded,1.0,1.0,3,3
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,15,1,residual_mlp,1.0,0.9720279720279721,3,3
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,16,0,ground_truth,1.0,1.0,1,1
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,16,0,quantum_encoded,1.0,1.0,1,1
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,16,0,residual_mlp,0.0,0.9930069930069931,1,3
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,16,1,ground_truth,1.0,1.0,5,5
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,16,1,quantum_encoded,1.0,1.0,5,5
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,16,1,residual_mlp,1.0,0.9790209790209792,5,5
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,17,0,ground_truth,1.0,1.0,8,8
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,17,0,quantum_encoded,1.0,1.0,8,8
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,17,0,residual_mlp,1.0,0.9930069930069931,8,8
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,17,1,ground_truth,1.0,1.0,0,0
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,17,1,quantum_encoded,1.0,1.0,0,0
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,17,1,residual_mlp,1.0,0.9720279720279721,0,0
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,18,0,ground_truth,1.0,1.0,9,9
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,18,0,quantum_encoded,1.0,1.0,9,9
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,18,0,residual_mlp,0.0,0.9930069930069931,9,7
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,18,1,ground_truth,1.0,1.0,7,7
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,18,1,quantum_encoded,1.0,1.0,7,7
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,18,1,residual_mlp,1.0,0.9930069930069931,7,7
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,19,0,ground_truth,1.0,1.0,0,0
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,19,0,quantum_encoded,1.0,1.0,0,0
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,19,0,residual_mlp,1.0,0.8321678321678322,0,0
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,19,1,ground_truth,1.0,1.0,10,10
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,19,1,quantum_encoded,1.0,1.0,10,10
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,19,1,residual_mlp,1.0,0.8951048951048951,10,10
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,20,0,ground_truth,1.0,1.0,8,8
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,20,0,quantum_encoded,1.0,1.0,8,8
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,20,0,residual_mlp,1.0,0.9370629370629372,8,8
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,20,1,ground_truth,1.0,1.0,7,7
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,20,1,quantum_encoded,1.0,1.0,7,7
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,20,1,residual_mlp,1.0,0.9930069930069931,7,7
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,21,0,ground_truth,1.0,1.0,4,4
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,21,0,quantum_encoded,1.0,1.0,4,4
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,21,0,residual_mlp,1.0,0.9930069930069931,4,4
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,21,1,ground_truth,1.0,1.0,9,9
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,21,1,quantum_encoded,1.0,1.0,9,9
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,21,1,residual_mlp,1.0,0.9930069930069931,9,9
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,22,0,ground_truth,1.0,1.0,11,11
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,22,0,quantum_encoded,1.0,1.0,11,11
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,22,0,residual_mlp,1.0,0.9930069930069931,11,11
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,22,1,ground_truth,1.0,1.0,1,1
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,22,1,quantum_encoded,1.0,1.0,1,1
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,22,1,residual_mlp,0.0,0.8811188811188813,1,9
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,23,0,ground_truth,1.0,1.0,10,10
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,23,0,quantum_encoded,1.0,1.0,10,10
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,23,0,residual_mlp,1.0,0.9790209790209792,10,10
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,23,1,ground_truth,1.0,1.0,10,10
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,23,1,quantum_encoded,1.0,1.0,10,10
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,23,1,residual_mlp,1.0,0.9790209790209792,10,10
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,24,0,ground_truth,1.0,1.0,4,4
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,24,0,quantum_encoded,1.0,1.0,4,4
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,24,0,residual_mlp,1.0,0.9790209790209792,4,4
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,24,1,ground_truth,1.0,1.0,7,7
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,24,1,quantum_encoded,1.0,1.0,7,7
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,24,1,residual_mlp,0.0,0.8461538461538463,7,8
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,25,0,ground_truth,1.0,1.0,8,8
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,25,0,quantum_encoded,1.0,1.0,8,8
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,25,0,residual_mlp,0.0,0.9930069930069931,8,1
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,25,1,ground_truth,1.0,1.0,11,11
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,25,1,quantum_encoded,1.0,1.0,11,11
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,25,1,residual_mlp,0.0,0.9860139860139862,11,8
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,26,0,ground_truth,1.0,1.0,11,11
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,26,0,quantum_encoded,1.0,1.0,11,11
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,26,0,residual_mlp,0.0,0.9790209790209792,11,4
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,26,1,ground_truth,1.0,1.0,8,8
