scenario,baseline,num_agents,state_dim,mixing_depth,mean_action_budget,conflict_level,competitive_extension,mean_abs_utility_error_mean,mean_abs_utility_error_std,mean_rel_utility_error_mean,mean_rel_utility_error_std,mean_abs_fidelity_error_mean,mean_abs_fidelity_error_std,kl_divergence_mean,kl_divergence_std,l2_distribution_error_mean,l2_distribution_error_std,br_match_rate_mean,br_match_rate_std,spearman_rank_correlation_mean,spearman_rank_correlation_std
N2_n4_L2_high_B10,no_mixing,2,4,2,10.0,high,False,0.24691752549273704,0.1462540637662662,3.1469207654403646,5.9799293875383706,0.24691752549273704,0.1462540637662662,0.2688203672858079,0.19608231249733493,0.3308266102531322,0.12830402346116446,0.14583333333333334,0.27501646854509365,0.41200466200466207,0.24903666753317025
N2_n4_L2_high_B10,sampling,2,4,2,10.0,high,False,0.008792045804933745,0.005163342736696644,0.12179200525841959,0.17949429929725216,0.00879204580493375,0.005163342736696648,0.0007875637311309606,0.0005808268032867879,0.017631503163783216,0.008197657786139593,0.9375,0.16891598117304404,0.9898018648018648,0.010097923715026887
N2_n8_L3_high_B6,aggregate,2,8,3,6.0,high,False,0.24335376721931032,0.06954690820657636,2.8234941486538734,4.743664257956112,0.24335376721931032,0.06954690820657636,1.1682981782262742,0.4781081435691175,0.46129272658808596,0.09545658577733353,0.4166666666666667,0.38069349381344053,0.5202505827505828,0.18149039367247832
N2_n8_L3_high_B6,mean_field,2,8,3,6.0,high,False,0.05011375507224632,0.03247645842439761,1.3667858811639568,3.7098393534167027,0.05011375507224632,0.03247645842439761,0.13969005057468975,0.07854036023673946,0.15934713118150956,0.05144247831944723,0.5833333333333334,0.2823298512866399,0.7508741258741259,0.12500651125757012
N2_n8_L3_high_B6,no_mixing,2,8,3,6.0,high,False,0.15693202386468294,0.08146257510004305,5.893908033170242,20.065077133785564,0.15693202386468294,0.08146257510004305,0.3553879209917165,0.16408181268503327,0.28967107047609325,0.07657955066128072,0.2916666666666667,0.3269312740791473,0.33114801864801874,0.19574848045076654
N2_n8_L3_high_B6,sampling,2,8,3,6.0,high,False,0.009984222090366977,0.00841087963344266,0.55992922800059,2.124733051075962,0.009984222090366977,0.008410879633442662,0.006449261845036156,0.01067726240241924,0.030549203286488424,0.004060133637436032,0.9375,0.16891598117304404,0.982371794871795,0.010589327782912968
N3_n16_L3_high_B10_comp,aggregate,3,16,3,10.0,high,True,0.07204661245101174,0.025769865410661837,0.17466307756277977,0.08502314364845552,0.07008365955379374,0.025448497222367167,0.8697602854542863,0.18492504001898008,0.34535994473582377,0.04890596863524231,0.6527777777777778,0.2688168147106418,0.781857031857032,0.06536541938901846
N3_n16_L3_high_B10_comp,mean_field,3,16,3,10.0,high,True,0.03308343172691181,0.01505532972326324,0.07800353794539605,0.03792029814828505,0.03374652998775742,0.015608886639974662,0.27448402832920044,0.10623366201289328,0.17702587556654759,0.04029163541808035,0.6944444444444443,0.23909383411892413,0.811868686868687,0.07669233065712876
N3_n16_L3_high_B10_comp,no_mixing,3,16,3,10.0,high,True,0.07087062227091785,0.042552691971411316,0.16428526451595607,0.10219542973174703,0.06851638505946543,0.04051926216905352,0.492564095293542,0.11507737075546008,0.260929795208738,0.043753065600394346,0.4166666666666667,0.3296902366978935,0.5606060606060607,0.15202493155974522
N3_n16_L3_high_B10_comp,sampling,3,16,3,10.0,high,True,0.007868463536604047,0.004723401416517398,0.018964796989283803,0.01256891131988614,0.007908987375768036,0.004668402819821726,0.016262465981436026,0.02130060011468428,0.03178911007899604,0.004742514603210848,0.9305555555555555,0.16965912590135054,0.9734848484848486,0.010600128422740636
N3_n4_L0_medium_B2,aggregate,3,4,0,2.0,medium,False,0.11809406459232397,0.06725929272485609,1.678451664045226,2.3376553706218477,0.11809406459232397,0.06725929272485609,-1.3877787807814427e-17,1.1832444098684693e-16,9.829508353552503e-17,4.132836347635877e-17,0.3055555555555555,0.25851053607634616,0.5737179487179488,0.1644756768707926
N3_n4_L0_medium_B2,mean_field,3,4,0,2.0,medium,False,5.729406147045621e-17,3.608453535319162e-17,6.985481076537615e-16,6.133715379267852e-16,5.86191974590496e-17,3.592298221564262e-17,-2.5442610980993167e-17,1.6691850265564335e-16,1.5420051414812168e-16,6.103803501384732e-17,1.0,0.0,1.0,0.0
N3_n4_L0_medium_B2,no_mixing,3,4,0,2.0,medium,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
N3_n4_L0_medium_B2,sampling,3,4,0,2.0,medium,False,0.011268095351233595,0.006257282294855192,0.16496660525403584,0.1319116393875789,0.011268095351233595,0.006257282294855192,0.0011075215077214749,1.1900220980081983e-16,0.023518739411703682,5.968623833504689e-17,0.9722222222222222,0.09410995042887998,0.9910644910644911,0.0050822389970856035
N3_n8_L1_low_B6,aggregate,3,8,1,6.0,low,False,0.07308394594147254,0.03669813405988378,0.539818232145433,0.47274170549739425,0.07308394594147254,0.03669813405988378,0.6176658083499244,0.26925878273850096,0.3638709751886116,0.08998179929911075,0.3194444444444444,0.3026320395608503,0.5619658119658121,0.0820137190553986
N3_n8_L1_low_B6,mean_field,3,8,1,6.0,low,False,0.06923702588817439,0.04369432666680926,0.538534468629767,0.5457534418357103,0.06923702588817439,0.04369432666680925,0.528179620176389,0.2562657434773733,0.32733169435803466,0.08190143469717893,0.27777777777777773,0.3210289415620512,0.5340909090909092,0.13872604022242158
N3_n8_L1_low_B6,no_mixing,3,8,1,6.0,low,False,0.11679803408460192,0.08982227058799892,0.8530078433518474,1.1675691312578977,0.11679803408460192,0.08982227058799892,0.3111853174208388,0.11515252267671823,0.2680826399962349,0.057799130771956,0.2222222222222222,0.25379566254229363,0.3454739704739705,0.14937085959641905
N3_n8_L1_low_B6,sampling,3,8,1,6.0,low,False,0.004982561329258336,0.0036866998923576256,0.04087784439151636,0.050273110516183,0.004982561329258337,0.0036866998923576256,0.0018994385254270205,0.0005672399644121478,0.02037246266732411,0.003770947947576578,0.9027777777777778,0.20803118185694836,0.9844599844599845,0.007099179371812388
N3_n8_L2_high_B10,aggregate,3,8,2,10.0,high,False,0.09745400670842434,0.060186724845103366,8.93984257462853,29.846311519178098,0.09745400670842434,0.060186724845103366,0.6806088312974307,0.397098672167346,0.39457182372080735,0.10650694604795702,0.5555555555555555,0.23398803938767795,0.663947163947164,0.12039402937291992
N3_n8_L2_high_B10,mean_field,3,8,2,10.0,high,False,0.09822924966282005,0.04870226586668713,0.916820925950288,2.2329320526438226,0.09822924966282005,0.048702265866687126,0.8192089063789942,0.6794775940659562,0.3552540286355141,0.12877304996465233,0.611111111111111,0.25379566254229363,0.6991064491064493,0.09869738483259992
N3_n8_L2_high_B10,no_mixing,3,8,2,10.0,high,False,0.11576122038276486,0.058038018048099695,8.422889575407618,30.11513611698505,0.11576122038276483,0.058038018048099695,0.36765124629860474,0.13591697990517723,0.3035138325508119,0.0707330035031184,0.375,0.22655794494005047,0.46454933954933963,0.149828027959631
