scenario,num_agents,state_dim,mixing_depth,mean_action_budget,conflict_level,rho,shared_target,competitive_extension,mean_target_overlap,sample_idx,baseline,mean_abs_utility_error,mean_rel_utility_error,mean_abs_fidelity_error,kl_divergence,l2_distribution_error,br_match_rate,spearman_rank_correlation
N2_n4_L2_high_B10,2,4,2,10.0,high,0.15,False,False,0.5362319126234589,21,no_mixing,0.17389459658157952,1.4306222729614841,0.17389459658157952,0.08700102261238621,0.2046300537765044,0.5,0.583916083916084
N2_n4_L2_high_B10,2,4,2,10.0,high,0.15,False,False,0.5362319126234589,21,aggregate,0.2668767285912248,2.067838244362518,0.2668767285912248,0.8148241007305794,0.5705606446940504,0.5,0.604895104895105
N2_n4_L2_high_B10,2,4,2,10.0,high,0.15,False,False,0.5362319126234589,21,mean_field,0.0686889688079696,0.5884145043872651,0.0686889688079696,0.20669123032795925,0.3080344637788623,1.0,0.8216783216783218
N2_n4_L2_high_B10,2,4,2,10.0,high,0.15,False,False,0.5362319126234589,21,sampling,0.01188269693026478,0.10208925625489224,0.01188269693026478,0.00031984584134460425,0.011584720433864298,1.0,0.9825174825174827
N2_n4_L2_high_B10,2,4,2,10.0,high,0.15,False,False,0.5362319126234589,22,no_mixing,0.16995843707943029,0.4795564656381088,0.16995843707943029,0.40773382458033997,0.41767238530824957,0.0,0.2447552447552448
N2_n4_L2_high_B10,2,4,2,10.0,high,0.15,False,False,0.5362319126234589,22,aggregate,0.34996122487248976,0.914408446528123,0.34996122487248976,0.12274358122521078,0.20181246910287082,0.5,0.3146853146853147
N2_n4_L2_high_B10,2,4,2,10.0,high,0.15,False,False,0.5362319126234589,22,mean_field,0.1432036666318433,0.4116983436017316,0.1432036666318433,0.24921784189348492,0.3505639035598033,0.5,0.8776223776223777
N2_n4_L2_high_B10,2,4,2,10.0,high,0.15,False,False,0.5362319126234589,22,sampling,0.00395446344288472,0.011728421411741663,0.003954463442884748,0.00022564793592433547,0.007777534411008693,1.0,0.9965034965034966
N2_n4_L2_high_B10,2,4,2,10.0,high,0.15,False,False,0.5362319126234589,23,no_mixing,0.4346691472432386,8.400237450624966,0.43466914724323863,0.36325678455372984,0.40911312523604226,0.0,0.5069930069930071
N2_n4_L2_high_B10,2,4,2,10.0,high,0.15,False,False,0.5362319126234589,23,aggregate,0.4785284711585567,7.2616557889304705,0.4785284711585567,0.7560993159449891,0.4392193227187927,0.0,0.39160839160839167
N2_n4_L2_high_B10,2,4,2,10.0,high,0.15,False,False,0.5362319126234589,23,mean_field,0.11174098190925172,2.334016142380678,0.11174098190925173,0.09711239232219633,0.158634029488939,1.0,0.8776223776223777
N2_n4_L2_high_B10,2,4,2,10.0,high,0.15,False,False,0.5362319126234589,23,sampling,0.010220294814727748,0.10940631334143329,0.010220294814727759,0.0015247590289269603,0.023624352254617807,0.5,0.9895104895104896
N2_n8_L3_high_B6,2,8,3,6.0,high,0.15,False,False,0.5256901032697925,0,no_mixing,0.31373544330447534,2.3010641590909398,0.31373544330447534,0.2797806734724924,0.286582855766034,0.0,0.3776223776223777
N2_n8_L3_high_B6,2,8,3,6.0,high,0.15,False,False,0.5256901032697925,0,aggregate,0.2396345736910454,1.484462774717009,0.2396345736910454,1.2817071075254547,0.44366471661061474,0.0,0.7132867132867133
N2_n8_L3_high_B6,2,8,3,6.0,high,0.15,False,False,0.5256901032697925,0,mean_field,0.08638066130676011,0.7642863352860897,0.08638066130676011,0.1355316476966652,0.2202276055831259,0.5,0.8461538461538463
N2_n8_L3_high_B6,2,8,3,6.0,high,0.15,False,False,0.5256901032697925,0,sampling,0.007504921492688249,0.07183470542844299,0.007504921492688256,0.003051097602673818,0.029157698588369935,1.0,0.9860139860139862
N2_n8_L3_high_B6,2,8,3,6.0,high,0.15,False,False,0.5256901032697925,1,no_mixing,0.024016078453709636,0.16560093385673363,0.02401607845370965,0.35838585275845525,0.3022648479984858,0.0,0.18531468531468537
N2_n8_L3_high_B6,2,8,3,6.0,high,0.15,False,False,0.5256901032697925,1,aggregate,0.16018468800144153,1.4116644546796009,0.16018468800144153,2.2017290015838222,0.513475801038914,0.5,0.42307692307692313
N2_n8_L3_high_B6,2,8,3,6.0,high,0.15,False,False,0.5256901032697925,1,mean_field,0.07428651711025536,0.6039145068468837,0.07428651711025536,0.07714618752691557,0.08659587930959295,0.5,0.4895104895104896
N2_n8_L3_high_B6,2,8,3,6.0,high,0.15,False,False,0.5256901032697925,1,sampling,0.002711985672019371,0.019738610218349162,0.002711985672019364,0.003767363003671047,0.02892977043211351,1.0,0.9790209790209791
N2_n8_L3_high_B6,2,8,3,6.0,high,0.15,False,False,0.5256901032697925,2,no_mixing,0.11253132563366283,0.35183522163275377,0.11253132563366283,0.38528183881536004,0.35030803363517254,0.0,0.5664335664335665
N2_n8_L3_high_B6,2,8,3,6.0,high,0.15,False,False,0.5256901032697925,2,aggregate,0.2835858800702383,0.9938557812598654,0.2835858800702383,2.108030808086848,0.5712556814625874,0.5,0.576923076923077
N2_n8_L3_high_B6,2,8,3,6.0,high,0.15,False,False,0.5256901032697925,2,mean_field,0.01946037324572543,0.06844782793297041,0.01946037324572543,0.16491719837773877,0.16001183883443199,0.5,0.8181818181818183
N2_n8_L3_high_B6,2,8,3,6.0,high,0.15,False,False,0.5256901032697925,2,sampling,0.005244650294724568,0.019527439881741028,0.0052446502947245555,0.0025872927473714197,0.034359988566095505,1.0,0.9790209790209791
N2_n8_L3_high_B6,2,8,3,6.0,high,0.15,False,False,0.5256901032697925,3,no_mixing,0.06056773893548803,0.4666858457341378,0.06056773893548804,0.20175566899277214,0.2115676381211742,1.0,0.5279720279720281
N2_n8_L3_high_B6,2,8,3,6.0,high,0.15,False,False,0.5256901032697925,3,aggregate,0.18222342891180288,0.9259779692180836,0.18222342891180288,0.615382010156624,0.3486093131235226,0.5,0.33566433566433573
N2_n8_L3_high_B6,2,8,3,6.0,high,0.15,False,False,0.5256901032697925,3,mean_field,0.005448058347784723,0.021684258198051906,0.005448058347784715,0.2026836139559256,0.1701211127518692,0.5,0.5874125874125876
N2_n8_L3_high_B6,2,8,3,6.0,high,0.15,False,False,0.5256901032697925,3,sampling,0.005066272972797825,0.021845161608314352,0.005066272972797818,0.0025204476949296784,0.027305377462246296,1.0,0.9650349650349652
N2_n8_L3_high_B6,2,8,3,6.0,high,0.15,False,False,0.5256901032697925,4,no_mixing,0.07917451577960818,0.6589517280910153,0.07917451577960818,0.5630233979377022,0.3963173032953756,0.5,0.31118881118881125
N2_n8_L3_high_B6,2,8,3,6.0,high,0.15,False,False,0.5256901032697925,4,aggregate,0.23897691575286176,1.6600815555994461,0.23897691575286176,1.8994000816275571,0.5597974488541727,1.0,0.7202797202797203
N2_n8_L3_high_B6,2,8,3,6.0,high,0.15,False,False,0.5256901032697925,4,mean_field,0.019995367137750915,0.11082465123013198,0.01999536713775092,0.10024895366437142,0.13783623986202406,1.0,0.7132867132867133
N2_n8_L3_high_B6,2,8,3,6.0,high,0.15,False,False,0.5256901032697925,4,sampling,0.008071699285311283,0.06172690806289962,0.008071699285311288,0.002915034150462242,0.02643108635573833,1.0,0.9930069930069931
N2_n8_L3_high_B6,2,8,3,6.0,high,0.15,False,False,0.5256901032697925,5,no_mixing,0.22770477955801033,1.2083411723309256,0.22770477955801036,0.7872792099308045,0.4752719981759098,0.0,0.27272727272727276
N2_n8_L3_high_B6,2,8,3,6.0,high,0.15,False,False,0.5256901032697925,5,aggregate,0.2463818860748479,1.6515410493852865,0.2463818860748479,1.6830258241748024,0.6322194486601654,0.0,0.24825174825174828
N2_n8_L3_high_B6,2,8,3,6.0,high,0.15,False,False,0.5256901032697925,5,mean_field,0.023446726697175402,0.24176314166521487,0.02344672669717541,0.34483578201514464,0.21546210035416233,0.5,0.6643356643356645
N2_n8_L3_high_B6,2,8,3,6.0,high,0.15,False,False,0.5256901032697925,5,sampling,0.0013439514448316953,0.015017242422466902,0.001343951444831692,0.004812290333645795,0.03836115557742937,1.0,0.9650349650349652
N2_n8_L3_high_B6,2,8,3,6.0,high,0.15,False,False,0.5256901032697925,6,no_mixing,0.17966680781740113,98.81682307019396,0.17966680781740113,0.27565708021570867,0.22564921648722314,0.5,0.2447552447552448
N2_n8_L3_high_B6,2,8,3,6.0,high,0.15,False,False,0.5256901032697925,6,aggregate,0.11599845585840918,24.39552347233826,0.11599845585840918,1.2091450172304947,0.48037180312608097,0.5,0.6083916083916084
N2_n8_L3_high_B6,2,8,3,6.0,high,0.15,False,False,0.5256901032697925,6,mean_field,0.06977160668425539,18.114407729289205,0.06977160668425539,0.03409578789104399,0.10912176384351857,0.5,0.7342657342657344
N2_n8_L3_high_B6,2,8,3,6.0,high,0.15,False,False,0.5256901032697925,6,sampling,0.024396908318895072,10.49814237492441,0.024396908318895072,0.03721494674616737,0.026894467818960526,1.0,0.9895104895104896
N2_n8_L3_high_B6,2,8,3,6.0,high,0.15,False,False,0.5256901032697925,7,no_mixing,0.15700747150771022,1.1180530364127073,0.15700747150771022,0.3094373765865102,0.26439222780757354,0.0,0.35664335664335667
N2_n8_L3_high_B6,2,8,3,6.0,high,0.15,False,False,0.5256901032697925,7,aggregate,0.30774573631803187,2.179931991193338,0.30774573631803187,1.273693935500439,0.4162917749939244,1.0,0.6083916083916084
