scenario,num_agents,state_dim,mixing_depth,conflict_level,rho,shared_target,competitive_extension,mean_target_overlap,model_name,method,seed,converged,cycle_detected,time_to_stability,trajectory_variance,final_mean_utility
shared_target_variant,3,8,2,high,0.15,True,False,0.9999999999999998,mean_field,projected_gradient,211,0,0,-1,0.0035018934371838575,-0.0154028404873064
shared_target_variant,3,8,2,high,0.15,True,False,0.9999999999999998,mean_field,projected_gradient,212,0,0,-1,0.003328581437409497,-0.030899974895093177
shared_target_variant,3,8,2,high,0.15,True,False,0.9999999999999998,mean_field,extra_gradient,209,0,0,-1,0.004205317987183094,-0.07260544618084204
shared_target_variant,3,8,2,high,0.15,True,False,0.9999999999999998,mean_field,extra_gradient,210,0,0,-1,0.004270142549087788,-0.03595478402725261
shared_target_variant,3,8,2,high,0.15,True,False,0.9999999999999998,mean_field,extra_gradient,211,0,0,-1,0.0034452084950958445,-0.016325901694782142
shared_target_variant,3,8,2,high,0.15,True,False,0.9999999999999998,mean_field,extra_gradient,212,0,0,-1,0.003274915058834578,-0.03179948290174043
shared_target_variant,3,8,2,high,0.15,True,False,0.9999999999999998,sampling,best_response,209,0,0,-1,0.12334026910954411,0.03693708470569478
shared_target_variant,3,8,2,high,0.15,True,False,0.9999999999999998,sampling,best_response,210,0,0,-1,0.13237920888199448,0.15291472956900884
shared_target_variant,3,8,2,high,0.15,True,False,0.9999999999999998,sampling,best_response,211,0,0,-1,0.10242784219759123,0.15793418969134007
shared_target_variant,3,8,2,high,0.15,True,False,0.9999999999999998,sampling,best_response,212,0,0,-1,0.12891284590668964,0.1734847766083366
shared_target_variant,3,8,2,high,0.15,True,False,0.9999999999999998,sampling,projected_gradient,209,0,0,-1,0.19510887695490645,-0.17938326625037196
shared_target_variant,3,8,2,high,0.15,True,False,0.9999999999999998,sampling,projected_gradient,210,0,0,-1,0.01142523662730962,-0.1252820846861836
shared_target_variant,3,8,2,high,0.15,True,False,0.9999999999999998,sampling,projected_gradient,211,0,0,-1,0.04789553642032871,-0.17511899737974146
shared_target_variant,3,8,2,high,0.15,True,False,0.9999999999999998,sampling,projected_gradient,212,0,0,-1,0.0045365872682208595,-0.025447180870407853
shared_target_variant,3,8,2,high,0.15,True,False,0.9999999999999998,sampling,extra_gradient,209,0,0,-1,0.10795482923146298,-0.1911260560836606
shared_target_variant,3,8,2,high,0.15,True,False,0.9999999999999998,sampling,extra_gradient,210,0,0,-1,0.016925527051023858,-0.1486328877066018
shared_target_variant,3,8,2,high,0.15,True,False,0.9999999999999998,sampling,extra_gradient,211,0,0,-1,0.004793441767919677,-0.06970833876396425
shared_target_variant,3,8,2,high,0.15,True,False,0.9999999999999998,sampling,extra_gradient,212,0,0,-1,0.00820231375385778,-0.0532648655116534
