scenario,num_agents,state_dim,mixing_depth,activation_name,markov_graph_degree,markov_inertia,mean_action_budget,conflict_level,rho,mean_target_overlap,horizon,sample_idx,method,query_budget,observable_error,utility_error
markov_medium_conflict_h1,2,6,1,entmax(alpha=1.50),2,0.25,3.5,medium,0.5,0.17801187167531526,1,18,amplitude_estimation,32,0.017477730463248575,0.017477730463248575
markov_medium_conflict_h1,2,6,1,entmax(alpha=1.50),2,0.25,3.5,medium,0.5,0.17801187167531526,1,18,monte_carlo,32,0.04622300705581528,0.04622300705581528
markov_medium_conflict_h1,2,6,1,entmax(alpha=1.50),2,0.25,3.5,medium,0.5,0.17801187167531526,1,18,amplitude_estimation,128,0.004451480772770924,0.004451480772770917
markov_medium_conflict_h1,2,6,1,entmax(alpha=1.50),2,0.25,3.5,medium,0.5,0.17801187167531526,1,18,monte_carlo,128,0.037209769536751425,0.03720976953675143
markov_medium_conflict_h1,2,6,1,entmax(alpha=1.50),2,0.25,3.5,medium,0.5,0.17801187167531526,1,19,amplitude_estimation,8,0.0535965161479257,0.053596516147925696
markov_medium_conflict_h1,2,6,1,entmax(alpha=1.50),2,0.25,3.5,medium,0.5,0.17801187167531526,1,19,monte_carlo,8,0.15357420560878676,0.15357420560878676
markov_medium_conflict_h1,2,6,1,entmax(alpha=1.50),2,0.25,3.5,medium,0.5,0.17801187167531526,1,19,amplitude_estimation,32,0.0033177377659889262,0.0033177377659889262
markov_medium_conflict_h1,2,6,1,entmax(alpha=1.50),2,0.25,3.5,medium,0.5,0.17801187167531526,1,19,monte_carlo,32,0.06431982085128882,0.06431982085128882
markov_medium_conflict_h1,2,6,1,entmax(alpha=1.50),2,0.25,3.5,medium,0.5,0.17801187167531526,1,19,amplitude_estimation,128,0.0033177377659889262,0.0033177377659889262
markov_medium_conflict_h1,2,6,1,entmax(alpha=1.50),2,0.25,3.5,medium,0.5,0.17801187167531526,1,19,monte_carlo,128,0.013538570851288824,0.013538570851288817
markov_medium_conflict_h1,2,6,1,entmax(alpha=1.50),2,0.25,3.5,medium,0.5,0.17801187167531526,1,20,amplitude_estimation,8,0.08271433196484695,0.08271433196484695
markov_medium_conflict_h1,2,6,1,entmax(alpha=1.50),2,0.25,3.5,medium,0.5,0.17801187167531526,1,20,monte_carlo,8,0.02021433196484696,0.02021433196484696
markov_medium_conflict_h1,2,6,1,entmax(alpha=1.50),2,0.25,3.5,medium,0.5,0.17801187167531526,1,20,amplitude_estimation,32,0.021975065648393015,0.021975065648393015
markov_medium_conflict_h1,2,6,1,entmax(alpha=1.50),2,0.25,3.5,medium,0.5,0.17801187167531526,1,20,monte_carlo,32,0.08271433196484695,0.08271433196484695
markov_medium_conflict_h1,2,6,1,entmax(alpha=1.50),2,0.25,3.5,medium,0.5,0.17801187167531526,1,20,amplitude_estimation,128,0.00436532398367772,0.00436532398367772
markov_medium_conflict_h1,2,6,1,entmax(alpha=1.50),2,0.25,3.5,medium,0.5,0.17801187167531526,1,20,monte_carlo,128,0.024891369036302353,0.024891369036302353
markov_medium_conflict_h1,2,6,1,entmax(alpha=1.50),2,0.25,3.5,medium,0.5,0.17801187167531526,1,21,amplitude_estimation,8,0.062446662748363704,0.062446662748363704
markov_medium_conflict_h1,2,6,1,entmax(alpha=1.50),2,0.25,3.5,medium,0.5,0.17801187167531526,1,21,monte_carlo,8,0.07408006300588983,0.07408006300588983
markov_medium_conflict_h1,2,6,1,entmax(alpha=1.50),2,0.25,3.5,medium,0.5,0.17801187167531526,1,21,amplitude_estimation,32,0.013321611335108938,0.013321611335108938
markov_medium_conflict_h1,2,6,1,entmax(alpha=1.50),2,0.25,3.5,medium,0.5,0.17801187167531526,1,21,monte_carlo,32,0.08389327215508995,0.08389327215508995
markov_medium_conflict_h1,2,6,1,entmax(alpha=1.50),2,0.25,3.5,medium,0.5,0.17801187167531526,1,21,amplitude_estimation,128,0.003289343466901129,0.003289343466901129
markov_medium_conflict_h1,2,6,1,entmax(alpha=1.50),2,0.25,3.5,medium,0.5,0.17801187167531526,1,21,monte_carlo,128,0.017487022155089946,0.017487022155089946
markov_medium_conflict_h1,2,6,1,entmax(alpha=1.50),2,0.25,3.5,medium,0.5,0.17801187167531526,1,22,amplitude_estimation,8,0.07379368841589631,0.07379368841589631
markov_medium_conflict_h1,2,6,1,entmax(alpha=1.50),2,0.25,3.5,medium,0.5,0.17801187167531526,1,22,monte_carlo,8,0.08128154522322414,0.08128154522322414
markov_medium_conflict_h1,2,6,1,entmax(alpha=1.50),2,0.25,3.5,medium,0.5,0.17801187167531526,1,22,amplitude_estimation,32,0.021270901388866517,0.021270901388866517
markov_medium_conflict_h1,2,6,1,entmax(alpha=1.50),2,0.25,3.5,medium,0.5,0.17801187167531526,1,22,monte_carlo,32,0.059343454776775856,0.059343454776775856
markov_medium_conflict_h1,2,6,1,entmax(alpha=1.50),2,0.25,3.5,medium,0.5,0.17801187167531526,1,22,amplitude_estimation,128,0.004555319565272928,0.004555319565272928
markov_medium_conflict_h1,2,6,1,entmax(alpha=1.50),2,0.25,3.5,medium,0.5,0.17801187167531526,1,22,monte_carlo,128,0.0073874384158963136,0.0073874384158963136
markov_medium_conflict_h1,2,6,1,entmax(alpha=1.50),2,0.25,3.5,medium,0.5,0.17801187167531526,1,23,amplitude_estimation,8,0.062446662748363704,0.062446662748363704
markov_medium_conflict_h1,2,6,1,entmax(alpha=1.50),2,0.25,3.5,medium,0.5,0.17801187167531526,1,23,monte_carlo,8,0.041106727844910054,0.04110672784491005
markov_medium_conflict_h1,2,6,1,entmax(alpha=1.50),2,0.25,3.5,medium,0.5,0.17801187167531526,1,23,amplitude_estimation,32,0.013321611335108938,0.013321611335108938
markov_medium_conflict_h1,2,6,1,entmax(alpha=1.50),2,0.25,3.5,medium,0.5,0.17801187167531526,1,23,monte_carlo,32,0.04283006300588983,0.04283006300588983
markov_medium_conflict_h1,2,6,1,entmax(alpha=1.50),2,0.25,3.5,medium,0.5,0.17801187167531526,1,23,amplitude_estimation,128,0.003289343466901129,0.003289343466901129
markov_medium_conflict_h1,2,6,1,entmax(alpha=1.50),2,0.25,3.5,medium,0.5,0.17801187167531526,1,23,monte_carlo,128,0.011580063005889832,0.011580063005889832
markov_medium_conflict_h2,2,6,2,entmax(alpha=1.50),2,0.25,3.5,medium,0.5,0.17801187167531526,2,0,amplitude_estimation,8,0.034908335843322896,0.034908335843322896
markov_medium_conflict_h2,2,6,2,entmax(alpha=1.50),2,0.25,3.5,medium,0.5,0.17801187167531526,2,0,monte_carlo,8,0.0900916641566771,0.0900916641566771
markov_medium_conflict_h2,2,6,2,entmax(alpha=1.50),2,0.25,3.5,medium,0.5,0.17801187167531526,2,0,amplitude_estimation,32,0.0035482879012208868,0.0035482879012208868
markov_medium_conflict_h2,2,6,2,entmax(alpha=1.50),2,0.25,3.5,medium,0.5,0.17801187167531526,2,0,monte_carlo,32,0.022342541452758324,0.022342541452758324
markov_medium_conflict_h2,2,6,2,entmax(alpha=1.50),2,0.25,3.5,medium,0.5,0.17801187167531526,2,0,amplitude_estimation,128,0.0035482879012208868,0.0035482879012208868
markov_medium_conflict_h2,2,6,2,entmax(alpha=1.50),2,0.25,3.5,medium,0.5,0.17801187167531526,2,0,monte_carlo,128,0.031497914156677104,0.031497914156677104
markov_medium_conflict_h2,2,6,2,entmax(alpha=1.50),2,0.25,3.5,medium,0.5,0.17801187167531526,2,1,amplitude_estimation,8,0.026428295932943602,0.026428295932943602
markov_medium_conflict_h2,2,6,2,entmax(alpha=1.50),2,0.25,3.5,medium,0.5,0.17801187167531526,2,1,monte_carlo,8,0.11037490533966984,0.11037490533966984
markov_medium_conflict_h2,2,6,2,entmax(alpha=1.50),2,0.25,3.5,medium,0.5,0.17801187167531526,2,1,amplitude_estimation,32,0.026428295932943602,0.026428295932943602
