scenario,num_agents,state_dim,mixing_depth,activation_name,markov_graph_degree,markov_inertia,mean_action_budget,conflict_level,rho,mean_target_overlap,sample_idx,agent_idx,model_name,accuracy
markov_medium_conflict,2,6,10,entmax(alpha=1.50),2,0.25,3.5,medium,0.5,0.17801187167531526,6,0,quantum_encoded,1.0
markov_medium_conflict,2,6,10,entmax(alpha=1.50),2,0.25,3.5,medium,0.5,0.17801187167531526,6,0,residual_mlp,1.0
markov_medium_conflict,2,6,10,entmax(alpha=1.50),2,0.25,3.5,medium,0.5,0.17801187167531526,6,1,ground_truth,1.0
markov_medium_conflict,2,6,10,entmax(alpha=1.50),2,0.25,3.5,medium,0.5,0.17801187167531526,6,1,quantum_encoded,1.0
markov_medium_conflict,2,6,10,entmax(alpha=1.50),2,0.25,3.5,medium,0.5,0.17801187167531526,6,1,residual_mlp,1.0
markov_medium_conflict,2,6,10,entmax(alpha=1.50),2,0.25,3.5,medium,0.5,0.17801187167531526,7,0,ground_truth,1.0
markov_medium_conflict,2,6,10,entmax(alpha=1.50),2,0.25,3.5,medium,0.5,0.17801187167531526,7,0,quantum_encoded,1.0
markov_medium_conflict,2,6,10,entmax(alpha=1.50),2,0.25,3.5,medium,0.5,0.17801187167531526,7,0,residual_mlp,1.0
markov_medium_conflict,2,6,10,entmax(alpha=1.50),2,0.25,3.5,medium,0.5,0.17801187167531526,7,1,ground_truth,1.0
markov_medium_conflict,2,6,10,entmax(alpha=1.50),2,0.25,3.5,medium,0.5,0.17801187167531526,7,1,quantum_encoded,1.0
markov_medium_conflict,2,6,10,entmax(alpha=1.50),2,0.25,3.5,medium,0.5,0.17801187167531526,7,1,residual_mlp,1.0
markov_medium_conflict,2,6,10,entmax(alpha=1.50),2,0.25,3.5,medium,0.5,0.17801187167531526,8,0,ground_truth,1.0
markov_medium_conflict,2,6,10,entmax(alpha=1.50),2,0.25,3.5,medium,0.5,0.17801187167531526,8,0,quantum_encoded,1.0
markov_medium_conflict,2,6,10,entmax(alpha=1.50),2,0.25,3.5,medium,0.5,0.17801187167531526,8,0,residual_mlp,1.0
markov_medium_conflict,2,6,10,entmax(alpha=1.50),2,0.25,3.5,medium,0.5,0.17801187167531526,8,1,ground_truth,1.0
markov_medium_conflict,2,6,10,entmax(alpha=1.50),2,0.25,3.5,medium,0.5,0.17801187167531526,8,1,quantum_encoded,1.0
markov_medium_conflict,2,6,10,entmax(alpha=1.50),2,0.25,3.5,medium,0.5,0.17801187167531526,8,1,residual_mlp,1.0
markov_medium_conflict,2,6,10,entmax(alpha=1.50),2,0.25,3.5,medium,0.5,0.17801187167531526,9,0,ground_truth,1.0
markov_medium_conflict,2,6,10,entmax(alpha=1.50),2,0.25,3.5,medium,0.5,0.17801187167531526,9,0,quantum_encoded,1.0
markov_medium_conflict,2,6,10,entmax(alpha=1.50),2,0.25,3.5,medium,0.5,0.17801187167531526,9,0,residual_mlp,1.0
