horizon,method,query_budget,accuracy,regret
1,monte_carlo,8,0.0,0.1610814358607961
1,monte_carlo,32,0.0,0.028060818658105405
1,monte_carlo,128,0.0,0.007262950903593551
1,amplitude_estimation,8,1.0,0.0
1,amplitude_estimation,32,1.0,0.0
1,amplitude_estimation,128,1.0,0.0
1,monte_carlo,8,0.0,0.17533950617606084
1,monte_carlo,32,1.0,0.0
1,monte_carlo,128,0.0,0.13406709347155218
1,amplitude_estimation,8,1.0,0.0
1,amplitude_estimation,32,1.0,0.0
1,amplitude_estimation,128,0.0,0.005586803721879002
1,monte_carlo,8,0.0,0.04584394353889826
1,monte_carlo,32,0.0,0.005586803721879002
1,monte_carlo,128,0.0,0.005586803721879002
1,amplitude_estimation,8,1.0,0.0
1,amplitude_estimation,32,1.0,0.0
1,amplitude_estimation,128,1.0,0.0
1,monte_carlo,8,0.0,0.09708254509041875
1,monte_carlo,32,0.0,0.08745554152609106
1,monte_carlo,128,0.0,0.07899975646085675
1,amplitude_estimation,8,1.0,0.0
1,amplitude_estimation,32,1.0,0.0
1,amplitude_estimation,128,1.0,0.0
1,monte_carlo,8,1.0,0.0
1,monte_carlo,32,0.0,0.12315774842193497
1,monte_carlo,128,0.0,0.019975222764141626
1,amplitude_estimation,8,1.0,0.0
1,amplitude_estimation,32,1.0,0.0
1,amplitude_estimation,128,0.0,0.007844025648896275
1,monte_carlo,8,1.0,0.0
1,monte_carlo,32,1.0,0.0
1,monte_carlo,128,1.0,0.0
2,amplitude_estimation,8,1.0,0.0
2,amplitude_estimation,32,1.0,0.0
2,amplitude_estimation,128,1.0,0.0
2,monte_carlo,8,0.0,0.004684311925192572
2,monte_carlo,32,1.0,0.0
2,monte_carlo,128,1.0,0.0
2,amplitude_estimation,8,1.0,0.0
2,amplitude_estimation,32,1.0,0.0
2,amplitude_estimation,128,1.0,0.0
2,monte_carlo,8,1.0,0.0
2,monte_carlo,32,1.0,0.0
2,monte_carlo,128,1.0,0.0
2,amplitude_estimation,8,1.0,0.0
2,amplitude_estimation,32,1.0,0.0
2,amplitude_estimation,128,1.0,0.0
2,monte_carlo,8,0.0,0.0699564732038495
2,monte_carlo,32,0.0,0.04449072626447374
2,monte_carlo,128,1.0,0.0
2,amplitude_estimation,8,1.0,0.0
2,amplitude_estimation,32,1.0,0.0
2,amplitude_estimation,128,1.0,0.0
2,monte_carlo,8,0.0,0.02974523707512937
2,monte_carlo,32,0.0,0.07587916601444024
2,monte_carlo,128,0.0,0.02487304504562428
2,amplitude_estimation,8,1.0,0.0
2,amplitude_estimation,32,1.0,0.0
2,amplitude_estimation,128,1.0,0.0
2,monte_carlo,8,0.0,0.12617806434268677
2,monte_carlo,32,1.0,0.0
2,monte_carlo,128,1.0,0.0
2,amplitude_estimation,8,0.0,0.00542558727821596
2,amplitude_estimation,32,0.0,0.00542558727821596
2,amplitude_estimation,128,1.0,0.0
2,monte_carlo,8,0.0,0.09826431294276786
2,monte_carlo,32,0.0,0.0036729824621059143
2,monte_carlo,128,1.0,0.0
2,amplitude_estimation,8,1.0,0.0
2,amplitude_estimation,32,1.0,0.0
2,amplitude_estimation,128,1.0,0.0
2,monte_carlo,8,0.0,0.04239823110276769
2,monte_carlo,32,1.0,0.0
2,monte_carlo,128,0.0,0.008513076092648675
2,amplitude_estimation,8,1.0,0.0
2,amplitude_estimation,32,0.0,0.060017294190254214
2,amplitude_estimation,128,0.0,0.004921810672419855
2,monte_carlo,8,1.0,0.0
2,monte_carlo,32,0.0,0.041277128147633554
2,monte_carlo,128,0.0,0.004921810672419855
2,amplitude_estimation,8,1.0,0.0
2,amplitude_estimation,32,1.0,0.0
2,amplitude_estimation,128,1.0,0.0
2,monte_carlo,8,0.0,0.06185470738597283
2,monte_carlo,32,1.0,0.0
2,monte_carlo,128,1.0,0.0
2,amplitude_estimation,8,1.0,0.0
2,amplitude_estimation,32,1.0,0.0
2,amplitude_estimation,128,1.0,0.0
2,monte_carlo,8,0.0,0.042318823235584474
2,monte_carlo,32,0.0,0.09433349358818607
2,monte_carlo,128,0.0,0.042318823235584474
2,amplitude_estimation,8,1.0,0.0
2,amplitude_estimation,32,1.0,0.0
2,amplitude_estimation,128,1.0,0.0
2,monte_carlo,8,0.0,0.03228750328564797
2,monte_carlo,32,1.0,0.0
2,monte_carlo,128,1.0,0.0
2,amplitude_estimation,8,1.0,0.0
2,amplitude_estimation,32,1.0,0.0
2,amplitude_estimation,128,1.0,0.0
2,monte_carlo,8,0.0,0.08363437743595624
2,monte_carlo,32,1.0,0.0
2,monte_carlo,128,1.0,0.0
2,amplitude_estimation,8,1.0,0.0
2,amplitude_estimation,32,1.0,0.0
2,amplitude_estimation,128,1.0,0.0
2,monte_carlo,8,1.0,0.0
2,monte_carlo,32,1.0,0.0
2,monte_carlo,128,1.0,0.0
2,amplitude_estimation,8,1.0,0.0
2,amplitude_estimation,32,0.0,0.044845786908709814
2,amplitude_estimation,128,1.0,0.0
2,monte_carlo,8,0.0,0.08569462664787315
2,monte_carlo,32,0.0,0.044845786908709814
2,monte_carlo,128,0.0,0.03764982981217564
2,amplitude_estimation,8,1.0,0.0
2,amplitude_estimation,32,1.0,0.0
2,amplitude_estimation,128,1.0,0.0
2,monte_carlo,8,0.0,0.07933596486746344
2,monte_carlo,32,0.0,0.04855417063130121
2,monte_carlo,128,0.0,0.07588203725066006
2,amplitude_estimation,8,1.0,0.0
2,amplitude_estimation,32,1.0,0.0
2,amplitude_estimation,128,1.0,0.0
2,monte_carlo,8,0.0,0.1172370536352526
2,monte_carlo,32,0.0,0.07242072488344996
2,monte_carlo,128,1.0,0.0
2,amplitude_estimation,8,1.0,0.0
2,amplitude_estimation,32,1.0,0.0
2,amplitude_estimation,128,1.0,0.0
2,monte_carlo,8,0.0,0.143425682092651
2,monte_carlo,32,1.0,0.0
2,monte_carlo,128,1.0,0.0
2,amplitude_estimation,8,1.0,0.0
2,amplitude_estimation,32,1.0,0.0
2,amplitude_estimation,128,1.0,0.0
2,monte_carlo,8,0.0,0.07211971327599853
2,monte_carlo,32,0.0,0.03395321625703074
2,monte_carlo,128,1.0,0.0
2,amplitude_estimation,8,1.0,0.0
2,amplitude_estimation,32,1.0,0.0
2,amplitude_estimation,128,1.0,0.0
2,monte_carlo,8,0.0,0.10013636558574618
2,monte_carlo,32,0.0,0.02795426732531585
2,monte_carlo,128,0.0,0.02795426732531585
2,amplitude_estimation,8,1.0,0.0
2,amplitude_estimation,32,1.0,0.0
2,amplitude_estimation,128,1.0,0.0
2,monte_carlo,8,0.0,0.04724893938816746
2,monte_carlo,32,1.0,0.0
2,monte_carlo,128,1.0,0.0
2,amplitude_estimation,8,1.0,0.0
2,amplitude_estimation,32,1.0,0.0
2,amplitude_estimation,128,1.0,0.0
2,monte_carlo,8,0.0,0.13992279987582446
2,monte_carlo,32,1.0,0.0
2,monte_carlo,128,1.0,0.0
2,amplitude_estimation,8,1.0,0.0
2,amplitude_estimation,32,1.0,0.0
2,amplitude_estimation,128,1.0,0.0
2,monte_carlo,8,0.0,0.07418456704261203
2,monte_carlo,32,1.0,0.0
2,monte_carlo,128,1.0,0.0
2,amplitude_estimation,8,1.0,0.0
2,amplitude_estimation,32,1.0,0.0
2,amplitude_estimation,128,1.0,0.0
2,monte_carlo,8,0.0,0.09012936428077761
2,monte_carlo,32,1.0,0.0
2,monte_carlo,128,1.0,0.0
2,amplitude_estimation,8,1.0,0.0
2,amplitude_estimation,32,1.0,0.0
2,amplitude_estimation,128,1.0,0.0
2,monte_carlo,8,0.0,0.12639970178633567
2,monte_carlo,32,1.0,0.0
2,monte_carlo,128,0.0,0.1082973703622104
2,amplitude_estimation,8,1.0,0.0
2,amplitude_estimation,32,1.0,0.0
2,amplitude_estimation,128,1.0,0.0
2,monte_carlo,8,0.0,0.09671242964824864
2,monte_carlo,32,0.0,0.03262377797720034
2,monte_carlo,128,1.0,0.0
2,amplitude_estimation,8,1.0,0.0
2,amplitude_estimation,32,1.0,0.0
2,amplitude_estimation,128,1.0,0.0
2,monte_carlo,8,0.0,0.02568613551855055
2,monte_carlo,32,1.0,0.0
2,monte_carlo,128,0.0,0.02568613551855055
2,amplitude_estimation,8,1.0,0.0
2,amplitude_estimation,32,1.0,0.0
2,amplitude_estimation,128,1.0,0.0
2,monte_carlo,8,0.0,0.06392333846848927
2,monte_carlo,32,0.0,0.014082252570930487
2,monte_carlo,128,0.0,0.004391065961535434
2,amplitude_estimation,8,1.0,0.0
2,amplitude_estimation,32,1.0,0.0
2,amplitude_estimation,128,1.0,0.0
2,monte_carlo,8,1.0,0.0
2,monte_carlo,32,1.0,0.0
2,monte_carlo,128,0.0,0.016896620928779443
2,amplitude_estimation,8,1.0,0.0
2,amplitude_estimation,32,1.0,0.0
2,amplitude_estimation,128,1.0,0.0
2,monte_carlo,8,0.0,0.04453863948177386
2,monte_carlo,32,1.0,0.0
2,monte_carlo,128,1.0,0.0
2,amplitude_estimation,8,1.0,0.0
2,amplitude_estimation,32,1.0,0.0
2,amplitude_estimation,128,1.0,0.0
2,monte_carlo,8,0.0,0.018103636530227646
2,monte_carlo,32,1.0,0.0
2,monte_carlo,128,0.0,0.06568168166472041
2,amplitude_estimation,8,1.0,0.0
2,amplitude_estimation,32,1.0,0.0
2,amplitude_estimation,128,1.0,0.0
2,monte_carlo,8,0.0,0.07736949584482644
2,monte_carlo,32,0.0,0.07736949584482644
2,monte_carlo,128,1.0,0.0
2,amplitude_estimation,8,1.0,0.0
2,amplitude_estimation,32,1.0,0.0
2,amplitude_estimation,128,1.0,0.0
2,monte_carlo,8,0.0,0.05034549097468008
2,monte_carlo,32,0.0,0.0035030616361307193
2,monte_carlo,128,0.0,0.023955777770293674
2,amplitude_estimation,8,0.0,0.0066093966100881085
2,amplitude_estimation,32,1.0,0.0
2,amplitude_estimation,128,1.0,0.0
2,monte_carlo,8,0.0,0.0971155718941265
2,monte_carlo,32,1.0,0.0
2,monte_carlo,128,1.0,0.0
2,amplitude_estimation,8,1.0,0.0
2,amplitude_estimation,32,1.0,0.0
2,amplitude_estimation,128,1.0,0.0
2,monte_carlo,8,0.0,0.0611590438837451
2,monte_carlo,32,0.0,0.06780793148108627
2,monte_carlo,128,0.0,0.0611590438837451
2,amplitude_estimation,8,1.0,0.0
2,amplitude_estimation,32,1.0,0.0
2,amplitude_estimation,128,1.0,0.0
2,monte_carlo,8,0.0,0.09254818065687163
2,monte_carlo,32,0.0,0.09254818065687163
2,monte_carlo,128,1.0,0.0
2,amplitude_estimation,8,1.0,0.0
2,amplitude_estimation,32,1.0,0.0
2,amplitude_estimation,128,1.0,0.0
2,monte_carlo,8,0.0,0.03439664101616419
2,monte_carlo,32,0.0,0.18258548247805031
2,monte_carlo,128,1.0,0.0
2,amplitude_estimation,8,1.0,0.0
2,amplitude_estimation,32,1.0,0.0
2,amplitude_estimation,128,1.0,0.0
2,monte_carlo,8,0.0,0.0820225323158695
2,monte_carlo,32,1.0,0.0
2,monte_carlo,128,0.0,0.01692827550911885
2,amplitude_estimation,8,1.0,0.0
2,amplitude_estimation,32,1.0,0.0
2,amplitude_estimation,128,0.0,0.005834617718698087
2,monte_carlo,8,0.0,0.03599273152070284
2,monte_carlo,32,0.0,0.07421610495924516
2,monte_carlo,128,0.0,0.005834617718698087
2,amplitude_estimation,8,1.0,0.0
2,amplitude_estimation,32,1.0,0.0
2,amplitude_estimation,128,1.0,0.0
2,monte_carlo,8,1.0,0.0
2,monte_carlo,32,1.0,0.0
2,monte_carlo,128,1.0,0.0
2,amplitude_estimation,8,0.0,0.0063925960985358465
2,amplitude_estimation,32,1.0,0.0
2,amplitude_estimation,128,1.0,0.0
2,monte_carlo,8,0.0,0.0334867531741259
2,monte_carlo,32,0.0,0.0063925960985358465
2,monte_carlo,128,0.0,0.0063925960985358465
2,amplitude_estimation,8,0.0,0.006059767473565084
2,amplitude_estimation,32,0.0,0.006059767473565084
2,amplitude_estimation,128,1.0,0.0
2,monte_carlo,8,0.0,0.006059767473565084
2,monte_carlo,32,0.0,0.08293413983612359
2,monte_carlo,128,1.0,0.0
2,amplitude_estimation,8,1.0,0.0
2,amplitude_estimation,32,1.0,0.0
2,amplitude_estimation,128,1.0,0.0
2,monte_carlo,8,1.0,0.0
2,monte_carlo,32,1.0,0.0
2,monte_carlo,128,1.0,0.0
2,amplitude_estimation,8,0.0,0.02060445188209123
2,amplitude_estimation,32,1.0,0.0
2,amplitude_estimation,128,1.0,0.0
2,monte_carlo,8,0.0,0.006758700170807902
2,monte_carlo,32,0.0,0.050705864932720446
2,monte_carlo,128,1.0,0.0
2,amplitude_estimation,8,1.0,0.0
2,amplitude_estimation,32,1.0,0.0
2,amplitude_estimation,128,0.0,0.0014267570302536892
2,monte_carlo,8,0.0,0.09143057375130723
2,monte_carlo,32,0.0,0.0014267570302536892
2,monte_carlo,128,0.0,0.0014267570302536892
2,amplitude_estimation,8,1.0,0.0
2,amplitude_estimation,32,1.0,0.0
2,amplitude_estimation,128,1.0,0.0
2,monte_carlo,8,0.0,0.06256735688264181
2,monte_carlo,32,0.0,0.018976348240405574
2,monte_carlo,128,0.0,0.06522244935786761
2,amplitude_estimation,8,1.0,0.0
2,amplitude_estimation,32,1.0,0.0
2,amplitude_estimation,128,1.0,0.0
2,monte_carlo,8,0.0,0.1255645831433853
2,monte_carlo,32,0.0,0.04322698376250615
2,monte_carlo,128,1.0,0.0
2,amplitude_estimation,8,1.0,0.0
2,amplitude_estimation,32,1.0,0.0
2,amplitude_estimation,128,1.0,0.0
2,monte_carlo,8,1.0,0.0
2,monte_carlo,32,1.0,0.0
2,monte_carlo,128,1.0,0.0
2,amplitude_estimation,8,1.0,0.0
2,amplitude_estimation,32,1.0,0.0
2,amplitude_estimation,128,1.0,0.0
2,monte_carlo,8,0.0,0.032015517981614644
2,monte_carlo,32,0.0,0.01393751118848334
2,monte_carlo,128,0.0,0.032015517981614644
4,amplitude_estimation,8,1.0,0.0
4,amplitude_estimation,32,1.0,0.0
4,amplitude_estimation,128,1.0,0.0
4,monte_carlo,8,0.0,0.09629551702737484
4,monte_carlo,32,0.0,0.07403438345248826
4,monte_carlo,128,1.0,0.0
4,amplitude_estimation,8,1.0,0.0
4,amplitude_estimation,32,1.0,0.0
4,amplitude_estimation,128,1.0,0.0
4,monte_carlo,8,0.0,0.09105171762950359
4,monte_carlo,32,1.0,0.0
4,monte_carlo,128,0.0,0.06231746582723405
4,amplitude_estimation,8,1.0,0.0
4,amplitude_estimation,32,1.0,0.0
4,amplitude_estimation,128,1.0,0.0
4,monte_carlo,8,0.0,0.02724067471966901
4,monte_carlo,32,0.0,0.0275077183824579
4,monte_carlo,128,1.0,0.0
4,amplitude_estimation,8,1.0,0.0
4,amplitude_estimation,32,1.0,0.0
4,amplitude_estimation,128,1.0,0.0
4,monte_carlo,8,0.0,0.1697297881108122
4,monte_carlo,32,1.0,0.0
4,monte_carlo,128,1.0,0.0
4,amplitude_estimation,8,1.0,0.0
4,amplitude_estimation,32,1.0,0.0
4,amplitude_estimation,128,1.0,0.0
4,monte_carlo,8,0.0,0.05481041914475515
4,monte_carlo,32,0.0,0.057832057664759795
4,monte_carlo,128,1.0,0.0
4,amplitude_estimation,8,1.0,0.0
4,amplitude_estimation,32,1.0,0.0
4,amplitude_estimation,128,1.0,0.0
4,monte_carlo,8,0.0,0.02568613551855055
4,monte_carlo,32,0.0,0.0027072971223238568
4,monte_carlo,128,0.0,0.0027072971223238568
4,amplitude_estimation,8,1.0,0.0
4,amplitude_estimation,32,1.0,0.0
4,amplitude_estimation,128,1.0,0.0
4,monte_carlo,8,0.0,0.0917262307646965
4,monte_carlo,32,0.0,0.021077726950755868
4,monte_carlo,128,0.0,0.021077726950755868
4,amplitude_estimation,8,1.0,0.0
4,amplitude_estimation,32,1.0,0.0
4,amplitude_estimation,128,1.0,0.0
4,monte_carlo,8,1.0,0.0
4,monte_carlo,32,0.0,0.015433150441170232
4,monte_carlo,128,0.0,0.015433150441170232
4,amplitude_estimation,8,1.0,0.0
4,amplitude_estimation,32,1.0,0.0
4,amplitude_estimation,128,1.0,0.0
4,monte_carlo,8,0.0,0.04525581223621594
4,monte_carlo,32,1.0,0.0
4,monte_carlo,128,1.0,0.0
4,amplitude_estimation,8,1.0,0.0
4,amplitude_estimation,32,1.0,0.0
4,amplitude_estimation,128,1.0,0.0
4,monte_carlo,8,1.0,0.0
4,monte_carlo,32,1.0,0.0
