horizon,model_name,accuracy,regret
4,residual_mlp,1.0,0.0
4,quantum_encoded,1.0,0.0
4,residual_mlp,1.0,0.0
4,quantum_encoded,1.0,0.0
4,residual_mlp,1.0,0.0
4,quantum_encoded,1.0,0.0
4,residual_mlp,0.0,0.015831931183459144
4,quantum_encoded,1.0,0.0
4,residual_mlp,0.0,0.022466259481678547
4,quantum_encoded,1.0,0.0
4,residual_mlp,1.0,0.0
8,quantum_encoded,1.0,0.0
8,residual_mlp,1.0,0.0
8,quantum_encoded,1.0,0.0
8,residual_mlp,1.0,0.0
8,quantum_encoded,1.0,0.0
8,residual_mlp,1.0,0.0
8,quantum_encoded,1.0,0.0
8,residual_mlp,1.0,0.0
8,quantum_encoded,1.0,0.0
8,residual_mlp,0.0,0.014178144707573878
8,quantum_encoded,1.0,0.0
8,residual_mlp,1.0,0.0
8,quantum_encoded,1.0,0.0
8,residual_mlp,1.0,0.0
8,quantum_encoded,1.0,0.0
8,residual_mlp,1.0,0.0
8,quantum_encoded,1.0,0.0
8,residual_mlp,1.0,0.0
8,quantum_encoded,1.0,0.0
8,residual_mlp,1.0,0.0
8,quantum_encoded,1.0,0.0
8,residual_mlp,0.0,0.0063106117007249996
8,quantum_encoded,1.0,0.0
8,residual_mlp,1.0,0.0
8,quantum_encoded,1.0,0.0
8,residual_mlp,1.0,0.0
8,quantum_encoded,1.0,0.0
8,residual_mlp,1.0,0.0
8,quantum_encoded,1.0,0.0
8,residual_mlp,1.0,0.0
8,quantum_encoded,1.0,0.0
8,residual_mlp,0.0,0.0036209925289029526
8,quantum_encoded,1.0,0.0
8,residual_mlp,0.0,0.03231138292618063
8,quantum_encoded,1.0,0.0
8,residual_mlp,1.0,0.0
8,quantum_encoded,1.0,0.0
8,residual_mlp,0.0,0.03825428288105594
8,quantum_encoded,1.0,0.0
8,residual_mlp,1.0,0.0
8,quantum_encoded,1.0,0.0
8,residual_mlp,1.0,0.0
8,quantum_encoded,1.0,0.0
8,residual_mlp,1.0,0.0
8,quantum_encoded,1.0,0.0
8,residual_mlp,1.0,0.0
8,quantum_encoded,1.0,0.0
8,residual_mlp,1.0,0.0
8,quantum_encoded,1.0,0.0
8,residual_mlp,0.0,0.003080301898868404
8,quantum_encoded,1.0,0.0
8,residual_mlp,0.0,0.0008092518349593625
8,quantum_encoded,1.0,0.0
8,residual_mlp,0.0,0.01672852915756634
8,quantum_encoded,1.0,0.0
8,residual_mlp,1.0,0.0
8,quantum_encoded,1.0,0.0
8,residual_mlp,1.0,0.0
8,quantum_encoded,1.0,0.0
8,residual_mlp,1.0,0.0
8,quantum_encoded,1.0,0.0
8,residual_mlp,1.0,0.0
8,quantum_encoded,1.0,0.0
8,residual_mlp,1.0,0.0
8,quantum_encoded,1.0,0.0
8,residual_mlp,1.0,0.0
8,quantum_encoded,1.0,0.0
8,residual_mlp,1.0,0.0
8,quantum_encoded,1.0,0.0
8,residual_mlp,0.0,0.01635881337135711
8,quantum_encoded,1.0,0.0
8,residual_mlp,1.0,0.0
8,quantum_encoded,1.0,0.0
8,residual_mlp,1.0,0.0
8,quantum_encoded,1.0,0.0
8,residual_mlp,1.0,0.0
8,quantum_encoded,1.0,0.0
8,residual_mlp,1.0,0.0
8,quantum_encoded,1.0,0.0
8,residual_mlp,1.0,0.0
8,quantum_encoded,1.0,0.0
8,residual_mlp,0.0,0.002967520279429564
8,quantum_encoded,1.0,0.0
8,residual_mlp,1.0,0.0
8,quantum_encoded,1.0,0.0
8,residual_mlp,0.0,0.01610753439913233
8,quantum_encoded,1.0,0.0
8,residual_mlp,1.0,0.0
8,quantum_encoded,1.0,0.0
8,residual_mlp,1.0,0.0
8,quantum_encoded,1.0,0.0
8,residual_mlp,1.0,0.0
8,quantum_encoded,1.0,0.0
8,residual_mlp,1.0,0.0
8,quantum_encoded,1.0,0.0
8,residual_mlp,0.0,0.0002487855487451063
12,quantum_encoded,1.0,0.0
12,residual_mlp,1.0,0.0
12,quantum_encoded,1.0,0.0
12,residual_mlp,1.0,0.0
12,quantum_encoded,1.0,0.0
12,residual_mlp,1.0,0.0
12,quantum_encoded,1.0,0.0
12,residual_mlp,1.0,0.0
12,quantum_encoded,1.0,0.0
12,residual_mlp,0.0,0.00307989346420226
12,quantum_encoded,1.0,0.0
12,residual_mlp,0.0,0.0007645133701712492
12,quantum_encoded,1.0,0.0
12,residual_mlp,1.0,0.0
12,quantum_encoded,1.0,0.0
12,residual_mlp,1.0,0.0
12,quantum_encoded,1.0,0.0
12,residual_mlp,1.0,0.0
12,quantum_encoded,1.0,0.0
12,residual_mlp,1.0,0.0
12,quantum_encoded,1.0,0.0
12,residual_mlp,1.0,0.0
12,quantum_encoded,1.0,0.0
12,residual_mlp,1.0,0.0
12,quantum_encoded,1.0,0.0
12,residual_mlp,1.0,0.0
12,quantum_encoded,1.0,0.0
12,residual_mlp,1.0,0.0
12,quantum_encoded,1.0,0.0
12,residual_mlp,1.0,0.0
12,quantum_encoded,1.0,0.0
12,residual_mlp,1.0,0.0
12,quantum_encoded,1.0,0.0
12,residual_mlp,1.0,0.0
12,quantum_encoded,1.0,0.0
12,residual_mlp,1.0,0.0
12,quantum_encoded,1.0,0.0
12,residual_mlp,1.0,0.0
12,quantum_encoded,1.0,0.0
12,residual_mlp,1.0,0.0
12,quantum_encoded,1.0,0.0
12,residual_mlp,1.0,0.0
12,quantum_encoded,1.0,0.0
12,residual_mlp,1.0,0.0
12,quantum_encoded,1.0,0.0
12,residual_mlp,1.0,0.0
12,quantum_encoded,1.0,0.0
12,residual_mlp,1.0,0.0
12,quantum_encoded,1.0,0.0
12,residual_mlp,1.0,0.0
12,quantum_encoded,1.0,0.0
12,residual_mlp,1.0,0.0
12,quantum_encoded,1.0,0.0
12,residual_mlp,1.0,0.0
12,quantum_encoded,1.0,0.0
12,residual_mlp,0.0,0.00021891028912182642
12,quantum_encoded,1.0,0.0
12,residual_mlp,0.0,0.012443126138677166
12,quantum_encoded,1.0,0.0
12,residual_mlp,1.0,0.0
12,quantum_encoded,1.0,0.0
12,residual_mlp,1.0,0.0
12,quantum_encoded,1.0,0.0
12,residual_mlp,1.0,0.0
12,quantum_encoded,1.0,0.0
12,residual_mlp,1.0,0.0
12,quantum_encoded,1.0,0.0
12,residual_mlp,1.0,0.0
12,quantum_encoded,1.0,0.0
12,residual_mlp,1.0,0.0
12,quantum_encoded,1.0,0.0
12,residual_mlp,0.0,0.02767144096997623
12,quantum_encoded,1.0,0.0
12,residual_mlp,1.0,0.0
12,quantum_encoded,1.0,0.0
12,residual_mlp,1.0,0.0
12,quantum_encoded,1.0,0.0
12,residual_mlp,1.0,0.0
12,quantum_encoded,1.0,0.0
12,residual_mlp,1.0,0.0
12,quantum_encoded,1.0,0.0
12,residual_mlp,1.0,0.0
12,quantum_encoded,1.0,0.0
12,residual_mlp,1.0,0.0
12,quantum_encoded,1.0,0.0
12,residual_mlp,0.0,0.008374420907681424
12,quantum_encoded,1.0,0.0
12,residual_mlp,0.0,0.00356993544377196
12,quantum_encoded,1.0,0.0
12,residual_mlp,1.0,0.0
12,quantum_encoded,1.0,0.0
12,residual_mlp,1.0,0.0
12,quantum_encoded,1.0,0.0
12,residual_mlp,0.0,0.01020847277471329
12,quantum_encoded,1.0,0.0
12,residual_mlp,0.0,0.0067799512773731585
