scenario,num_agents,state_dim,mixing_depth,activation_name,markov_graph_degree,markov_inertia,mean_action_budget,conflict_level,rho,mean_target_overlap,horizon,sample_idx,method,query_budget,observable_error,utility_error
markov_low_conflict_h3,2,3,3,softmax(beta=1.00),1,0.25,3.0,low,0.85,0.4739792389324737,3,3,amplitude_estimation,32,0.03323210465114129,0.03323210465114129
markov_low_conflict_h3,2,3,3,softmax(beta=1.00),1,0.25,3.0,low,0.85,0.4739792389324737,3,3,monte_carlo,32,0.029390388468596373,0.029390388468596373
markov_low_conflict_h3,2,3,3,softmax(beta=1.00),1,0.25,3.0,low,0.85,0.4739792389324737,3,4,amplitude_estimation,8,0.15829679705545752,0.15829679705545752
markov_low_conflict_h3,2,3,3,softmax(beta=1.00),1,0.25,3.0,low,0.85,0.4739792389324737,3,4,monte_carlo,8,0.15829679705545763,0.15829679705545763
markov_low_conflict_h3,2,3,3,softmax(beta=1.00),1,0.25,3.0,low,0.85,0.4739792389324737,3,4,amplitude_estimation,32,0.03304491912708729,0.03304491912708729
markov_low_conflict_h3,2,3,3,softmax(beta=1.00),1,0.25,3.0,low,0.85,0.4739792389324737,3,4,monte_carlo,32,0.09579679705545763,0.09579679705545761
markov_low_conflict_h3,2,3,3,softmax(beta=1.00),1,0.25,3.0,low,0.85,0.4739792389324737,3,5,amplitude_estimation,8,0.1580784173975205,0.1580784173975205
markov_low_conflict_h3,2,3,3,softmax(beta=1.00),1,0.25,3.0,low,0.85,0.4739792389324737,3,5,monte_carlo,8,0.1580784173975206,0.1580784173975206
markov_low_conflict_h3,2,3,3,softmax(beta=1.00),1,0.25,3.0,low,0.85,0.4739792389324737,3,5,amplitude_estimation,32,0.03326329878502432,0.033263298785024306
markov_low_conflict_h3,2,3,3,softmax(beta=1.00),1,0.25,3.0,low,0.85,0.4739792389324737,3,5,monte_carlo,32,0.0955784173975206,0.09557841739752058
markov_low_conflict_h3,2,3,3,softmax(beta=1.00),1,0.25,3.0,low,0.85,0.4739792389324737,3,6,amplitude_estimation,8,0.1582358749187796,0.1582358749187796
markov_low_conflict_h3,2,3,3,softmax(beta=1.00),1,0.25,3.0,low,0.85,0.4739792389324737,3,6,monte_carlo,8,0.03323587491877972,0.03323587491877972
markov_low_conflict_h3,2,3,3,softmax(beta=1.00),1,0.25,3.0,low,0.85,0.4739792389324737,3,6,amplitude_estimation,32,0.0331058412637652,0.0331058412637652
markov_low_conflict_h3,2,3,3,softmax(beta=1.00),1,0.25,3.0,low,0.85,0.4739792389324737,3,6,monte_carlo,32,0.12698587491877972,0.12698587491877972
markov_low_conflict_h3,2,3,3,softmax(beta=1.00),1,0.25,3.0,low,0.85,0.4739792389324737,3,7,amplitude_estimation,8,0.15815967524142582,0.15815967524142582
markov_low_conflict_h3,2,3,3,softmax(beta=1.00),1,0.25,3.0,low,0.85,0.4739792389324737,3,7,monte_carlo,8,0.09184032475857407,0.09184032475857408
markov_low_conflict_h3,2,3,3,softmax(beta=1.00),1,0.25,3.0,low,0.85,0.4739792389324737,3,7,amplitude_estimation,32,0.033182040941118984,0.033182040941118984
markov_low_conflict_h3,2,3,3,softmax(beta=1.00),1,0.25,3.0,low,0.85,0.4739792389324737,3,7,monte_carlo,32,0.0019096752414259344,0.0019096752414259344
markov_low_conflict_h5,2,3,5,softmax(beta=1.00),1,0.25,3.0,low,0.85,0.4739792389324737,5,0,amplitude_estimation,8,0.15812721153428405,0.15812721153428405
markov_low_conflict_h5,2,3,5,softmax(beta=1.00),1,0.25,3.0,low,0.85,0.4739792389324737,5,0,monte_carlo,8,0.28312721153428416,0.28312721153428416
markov_low_conflict_h5,2,3,5,softmax(beta=1.00),1,0.25,3.0,low,0.85,0.4739792389324737,5,0,amplitude_estimation,32,0.033214504648260756,0.033214504648260756
markov_low_conflict_h5,2,3,5,softmax(beta=1.00),1,0.25,3.0,low,0.85,0.4739792389324737,5,0,monte_carlo,32,0.12687721153428416,0.12687721153428416
markov_low_conflict_h5,2,3,5,softmax(beta=1.00),1,0.25,3.0,low,0.85,0.4739792389324737,5,1,amplitude_estimation,8,0.15812674114702618,0.15812674114702618
markov_low_conflict_h5,2,3,5,softmax(beta=1.00),1,0.25,3.0,low,0.85,0.4739792389324737,5,1,monte_carlo,8,0.1581267411470263,0.1581267411470263
markov_low_conflict_h5,2,3,5,softmax(beta=1.00),1,0.25,3.0,low,0.85,0.4739792389324737,5,1,amplitude_estimation,32,0.033214975035518624,0.033214975035518624
markov_low_conflict_h5,2,3,5,softmax(beta=1.00),1,0.25,3.0,low,0.85,0.4739792389324737,5,1,monte_carlo,32,0.029373258852973705,0.029373258852973705
markov_low_conflict_h5,2,3,5,softmax(beta=1.00),1,0.25,3.0,low,0.85,0.4739792389324737,5,2,amplitude_estimation,8,0.1581274314735021,0.1581274314735021
markov_low_conflict_h5,2,3,5,softmax(beta=1.00),1,0.25,3.0,low,0.85,0.4739792389324737,5,2,monte_carlo,8,0.03312743147350222,0.03312743147350222
markov_low_conflict_h5,2,3,5,softmax(beta=1.00),1,0.25,3.0,low,0.85,0.4739792389324737,5,2,amplitude_estimation,32,0.033214284709042696,0.033214284709042696
markov_low_conflict_h5,2,3,5,softmax(beta=1.00),1,0.25,3.0,low,0.85,0.4739792389324737,5,2,monte_carlo,32,0.06062256852649778,0.06062256852649778
markov_low_conflict_h5,2,3,5,softmax(beta=1.00),1,0.25,3.0,low,0.85,0.4739792389324737,5,3,amplitude_estimation,8,0.1581268530912125,0.1581268530912125
markov_low_conflict_h5,2,3,5,softmax(beta=1.00),1,0.25,3.0,low,0.85,0.4739792389324737,5,3,monte_carlo,8,0.033126853091212605,0.03312685309121258
markov_low_conflict_h5,2,3,5,softmax(beta=1.00),1,0.25,3.0,low,0.85,0.4739792389324737,5,3,amplitude_estimation,32,0.033214863091332314,0.03321486309133233
markov_low_conflict_h5,2,3,5,softmax(beta=1.00),1,0.25,3.0,low,0.85,0.4739792389324737,5,3,monte_carlo,32,0.1231231469087874,0.12312314690878741
markov_low_conflict_h5,2,3,5,softmax(beta=1.00),1,0.25,3.0,low,0.85,0.4739792389324737,5,4,amplitude_estimation,8,0.15812618453270083,0.15812618453270083
markov_low_conflict_h5,2,3,5,softmax(beta=1.00),1,0.25,3.0,low,0.85,0.4739792389324737,5,4,monte_carlo,8,0.09187381546729906,0.09187381546729906
markov_low_conflict_h5,2,3,5,softmax(beta=1.00),1,0.25,3.0,low,0.85,0.4739792389324737,5,4,amplitude_estimation,32,0.03321553164984398,0.03321553164984398
markov_low_conflict_h5,2,3,5,softmax(beta=1.00),1,0.25,3.0,low,0.85,0.4739792389324737,5,4,monte_carlo,32,0.03312618453270094,0.03312618453270094
markov_low_conflict_h5,2,3,5,softmax(beta=1.00),1,0.25,3.0,low,0.85,0.4739792389324737,5,5,amplitude_estimation,8,0.1581267618302329,0.1581267618302329
markov_low_conflict_h5,2,3,5,softmax(beta=1.00),1,0.25,3.0,low,0.85,0.4739792389324737,5,5,monte_carlo,8,0.091873238169767,0.091873238169767
markov_low_conflict_h5,2,3,5,softmax(beta=1.00),1,0.25,3.0,low,0.85,0.4739792389324737,5,5,amplitude_estimation,32,0.03321495435231192,0.03321495435231192
markov_low_conflict_h5,2,3,5,softmax(beta=1.00),1,0.25,3.0,low,0.85,0.4739792389324737,5,5,monte_carlo,32,0.123123238169767,0.123123238169767
markov_low_conflict_h5,2,3,5,softmax(beta=1.00),1,0.25,3.0,low,0.85,0.4739792389324737,5,6,amplitude_estimation,8,0.15812613533043718,0.15812613533043718
markov_low_conflict_h5,2,3,5,softmax(beta=1.00),1,0.25,3.0,low,0.85,0.4739792389324737,5,6,monte_carlo,8,0.09187386466956271,0.09187386466956272
markov_low_conflict_h5,2,3,5,softmax(beta=1.00),1,0.25,3.0,low,0.85,0.4739792389324737,5,6,amplitude_estimation,32,0.03321558085210763,0.03321558085210763
markov_low_conflict_h5,2,3,5,softmax(beta=1.00),1,0.25,3.0,low,0.85,0.4739792389324737,5,6,monte_carlo,32,0.2206261353304373,0.2206261353304373
markov_low_conflict_h5,2,3,5,softmax(beta=1.00),1,0.25,3.0,low,0.85,0.4739792389324737,5,7,amplitude_estimation,8,0.15812699456069912,0.15812699456069912
markov_low_conflict_h5,2,3,5,softmax(beta=1.00),1,0.25,3.0,low,0.85,0.4739792389324737,5,7,monte_carlo,8,0.15812699456069923,0.15812699456069923
markov_low_conflict_h5,2,3,5,softmax(beta=1.00),1,0.25,3.0,low,0.85,0.4739792389324737,5,7,amplitude_estimation,32,0.03321472162184569,0.03321472162184569
markov_low_conflict_h5,2,3,5,softmax(beta=1.00),1,0.25,3.0,low,0.85,0.4739792389324737,5,7,monte_carlo,32,0.09562699456069923,0.09562699456069923
