scenario,num_agents,state_dim,mixing_depth,mean_action_budget,conflict_level,rho,competitive_extension,mean_target_overlap,sample_idx,method,query_budget,observable_error,utility_error
high_conflict,2,3,2,2.5,high,0.15,False,0.38454972824184563,1,monte_carlo,64,0.0,0.0
high_conflict,2,3,2,2.5,high,0.15,False,0.38454972824184563,2,amplitude_estimation,8,0.0,0.0
high_conflict,2,3,2,2.5,high,0.15,False,0.38454972824184563,2,monte_carlo,8,0.0,0.0
high_conflict,2,3,2,2.5,high,0.15,False,0.38454972824184563,2,amplitude_estimation,16,0.0,0.0
high_conflict,2,3,2,2.5,high,0.15,False,0.38454972824184563,2,monte_carlo,16,0.0,0.0
high_conflict,2,3,2,2.5,high,0.15,False,0.38454972824184563,2,amplitude_estimation,32,0.0,0.0
high_conflict,2,3,2,2.5,high,0.15,False,0.38454972824184563,2,monte_carlo,32,0.0,0.0
high_conflict,2,3,2,2.5,high,0.15,False,0.38454972824184563,2,amplitude_estimation,64,0.0,0.0
high_conflict,2,3,2,2.5,high,0.15,False,0.38454972824184563,2,monte_carlo,64,0.0,0.0
high_conflict,2,3,2,2.5,high,0.15,False,0.38454972824184563,3,amplitude_estimation,8,0.002157536016152206,0.002157536016152206
high_conflict,2,3,2,2.5,high,0.15,False,0.38454972824184563,3,monte_carlo,8,0.002157536016152206,0.002157536016152206
high_conflict,2,3,2,2.5,high,0.15,False,0.38454972824184563,3,amplitude_estimation,16,0.002157536016152206,0.002157536016152206
high_conflict,2,3,2,2.5,high,0.15,False,0.38454972824184563,3,monte_carlo,16,0.002157536016152206,0.002157536016152206
high_conflict,2,3,2,2.5,high,0.15,False,0.38454972824184563,3,amplitude_estimation,32,0.002157536016152206,0.002157536016152206
high_conflict,2,3,2,2.5,high,0.15,False,0.38454972824184563,3,monte_carlo,32,0.002157536016152206,0.002157536016152206
high_conflict,2,3,2,2.5,high,0.15,False,0.38454972824184563,3,amplitude_estimation,64,0.0002501006477493295,0.0002501006477493295
high_conflict,2,3,2,2.5,high,0.15,False,0.38454972824184563,3,monte_carlo,64,0.002157536016152206,0.002157536016152206
