profile_key,profile_indices,max_regret,is_pure_nash,is_epsilon_nash,utility_agent_0,utility_agent_1,regret_agent_0,regret_agent_1,scenario,model_name
7|7,"[7, 7]",0.20662176518725733,False,False,0.3580682480495286,0.5939183063598374,0.20662176518725733,0.16441735805869606,mixing_high_conflict,exact
10|6,"[10, 6]",0.21461286447474848,False,False,0.34613947625162966,0.64615664590088,0.20236004363990112,0.21461286447474848,mixing_high_conflict,exact
15|6,"[15, 6]",0.21461286447474848,False,False,0.34613947625162966,0.64615664590088,0.20236004363990112,0.21461286447474848,mixing_high_conflict,exact
5|6,"[5, 6]",0.21461286447474848,False,False,0.34613947625162966,0.64615664590088,0.20236004363990112,0.21461286447474848,mixing_high_conflict,exact
0|6,"[0, 6]",0.2146128644747486,False,False,0.44613947625163,0.6461566459008801,0.10236004363990081,0.2146128644747486,mixing_high_conflict,exact
13|1,"[13, 1]",0.21830807803128027,False,False,0.5605614429579651,0.6185160842354963,0.21830807803128027,0.04002928056817101,mixing_high_conflict,exact
13|2,"[13, 2]",0.21830807803128027,False,False,0.5605614429579651,0.6185160842354963,0.21830807803128027,0.04002928056817101,mixing_high_conflict,exact
13|3,"[13, 3]",0.21830807803128027,False,False,0.5605614429579651,0.6185160842354963,0.21830807803128027,0.04002928056817101,mixing_high_conflict,exact
12|7,"[12, 7]",0.2412549342086629,False,False,0.5144888599151162,0.47769152722356095,0.050201153321669745,0.2412549342086629,mixing_high_conflict,exact
4|7,"[4, 7]",0.2412549342086629,False,False,0.5144888599151162,0.47769152722356095,0.050201153321669745,0.2412549342086629,mixing_high_conflict,exact
8|7,"[8, 7]",0.2412549342086629,False,False,0.5144888599151162,0.47769152722356095,0.050201153321669745,0.2412549342086629,mixing_high_conflict,exact
14|11,"[14, 11]",0.242448231314152,False,False,0.3281046205893005,0.5906242846115903,0.242448231314152,0.2008864719884198,mixing_high_conflict,exact
13|14,"[13, 14]",0.24409971626152827,False,False,0.3258413506735295,0.4984411745320745,0.24409971626152827,0.16010419027159284,mixing_high_conflict,exact
13|13,"[13, 13]",0.2525395411274229,False,False,0.2607011872821627,0.4158433781157506,0.2525395411274229,0.2427019866879167,mixing_high_conflict,exact
13|9,"[13, 9]",0.2561565901543365,False,False,0.2913968455370903,0.4586345194226806,0.2561565901543365,0.19991084538098675,mixing_high_conflict,exact
1|7,"[1, 7]",0.2590028737947715,False,False,0.3056871394420144,0.42858656183320915,0.2590028737947715,0.13181591575516144,mixing_high_conflict,exact
2|7,"[2, 7]",0.2590028737947715,False,False,0.3056871394420144,0.42858656183320915,0.2590028737947715,0.13181591575516144,mixing_high_conflict,exact
3|7,"[3, 7]",0.2590028737947715,False,False,0.3056871394420144,0.42858656183320915,0.2590028737947715,0.13181591575516144,mixing_high_conflict,exact
11|6,"[11, 6]",0.2663619791135625,False,False,0.2895120539716052,0.5936828358482693,0.2589874659199256,0.2663619791135625,mixing_high_conflict,exact
6|6,"[6, 6]",0.28583807537245903,False,False,0.26266144451907175,0.5463058346112959,0.28583807537245903,0.2783325543454236,mixing_high_conflict,exact
9|0,"[9, 0]",0.29552034238274,False,False,0.2890905176028717,0.6107233895418681,0.29552034238274,0.10793169950601078,mixing_high_conflict,exact
9|10,"[9, 10]",0.29552034238274016,False,False,0.2890905176028715,0.5107233895418679,0.29552034238274016,0.20793169950601098,mixing_high_conflict,exact
9|15,"[9, 15]",0.29552034238274016,False,False,0.2890905176028715,0.5107233895418679,0.29552034238274016,0.20793169950601098,mixing_high_conflict,exact
9|5,"[9, 5]",0.29552034238274016,False,False,0.2890905176028715,0.5107233895418679,0.29552034238274016,0.20793169950601098,mixing_high_conflict,exact
7|6,"[7, 6]",0.30608740163353476,False,False,0.24241211825799602,0.48516901181599087,0.30608740163353476,0.27316665260254264,mixing_high_conflict,exact
1|6,"[1, 6]",0.3137974579337001,False,False,0.23470206195783067,0.3510961995355404,0.3137974579337001,0.2093062780528302,mixing_high_conflict,exact
2|6,"[2, 6]",0.3137974579337001,False,False,0.23470206195783067,0.3510961995355404,0.3137974579337001,0.2093062780528302,mixing_high_conflict,exact
3|6,"[3, 6]",0.3137974579337001,False,False,0.23470206195783067,0.3510961995355404,0.3137974579337001,0.2093062780528302,mixing_high_conflict,exact
0|11,"[0, 11]",0.31451394782733755,False,False,0.3403433547900692,0.5462555625482911,0.2302094971133833,0.31451394782733755,mixing_high_conflict,exact
13|12,"[13, 12]",0.3146855741106324,False,False,0.22843371533216444,0.3438597906930349,0.19573917062170992,0.3146855741106324,mixing_high_conflict,exact
13|4,"[13, 4]",0.3146855741106324,False,False,0.22843371533216444,0.3438597906930349,0.19573917062170992,0.3146855741106324,mixing_high_conflict,exact
13|8,"[13, 8]",0.3146855741106324,False,False,0.22843371533216444,0.3438597906930349,0.19573917062170992,0.3146855741106324,mixing_high_conflict,exact
1|1,"[1, 1]",0.317647414769922,False,False,0.46122210621932336,0.5604024775883706,0.317647414769922,0.0,mixing_high_conflict,exact
1|2,"[1, 2]",0.317647414769922,False,False,0.46122210621932336,0.5604024775883706,0.317647414769922,0.0,mixing_high_conflict,exact
1|3,"[1, 3]",0.317647414769922,False,False,0.46122210621932336,0.5604024775883706,0.317647414769922,0.0,mixing_high_conflict,exact
2|1,"[2, 1]",0.317647414769922,False,False,0.46122210621932336,0.5604024775883706,0.317647414769922,0.0,mixing_high_conflict,exact
2|2,"[2, 2]",0.317647414769922,False,False,0.46122210621932336,0.5604024775883706,0.317647414769922,0.0,mixing_high_conflict,exact
2|3,"[2, 3]",0.317647414769922,False,False,0.46122210621932336,0.5604024775883706,0.317647414769922,0.0,mixing_high_conflict,exact
3|1,"[3, 1]",0.317647414769922,False,False,0.46122210621932336,0.5604024775883706,0.317647414769922,0.0,mixing_high_conflict,exact
3|2,"[3, 2]",0.317647414769922,False,False,0.46122210621932336,0.5604024775883706,0.317647414769922,0.0,mixing_high_conflict,exact
3|3,"[3, 3]",0.317647414769922,False,False,0.46122210621932336,0.5604024775883706,0.317647414769922,0.0,mixing_high_conflict,exact
10|11,"[10, 11]",0.3302094971133831,False,False,0.24034335479006938,0.5462555625482911,0.3302094971133831,0.3145139478273373,mixing_high_conflict,exact
15|11,"[15, 11]",0.3302094971133831,False,False,0.24034335479006938,0.5462555625482911,0.3302094971133831,0.3145139478273373,mixing_high_conflict,exact
5|11,"[5, 11]",0.3302094971133831,False,False,0.24034335479006938,0.5462555625482911,0.3302094971133831,0.3145139478273373,mixing_high_conflict,exact
12|1,"[12, 1]",0.3531157402875428,False,False,0.42575378070170256,0.3833057221780449,0.3531157402875428,0.3356407392541789,mixing_high_conflict,exact
12|2,"[12, 2]",0.3531157402875428,False,False,0.42575378070170256,0.3833057221780449,0.3531157402875428,0.3356407392541789,mixing_high_conflict,exact
12|3,"[12, 3]",0.3531157402875428,False,False,0.42575378070170256,0.3833057221780449,0.3531157402875428,0.3356407392541789,mixing_high_conflict,exact
4|1,"[4, 1]",0.3531157402875428,False,False,0.42575378070170256,0.3833057221780449,0.3531157402875428,0.3356407392541789,mixing_high_conflict,exact
4|2,"[4, 2]",0.3531157402875428,False,False,0.42575378070170256,0.3833057221780449,0.3531157402875428,0.3356407392541789,mixing_high_conflict,exact
4|3,"[4, 3]",0.3531157402875428,False,False,0.42575378070170256,0.3833057221780449,0.3531157402875428,0.3356407392541789,mixing_high_conflict,exact
8|1,"[8, 1]",0.3531157402875428,False,False,0.42575378070170256,0.3833057221780449,0.3531157402875428,0.3356407392541789,mixing_high_conflict,exact
8|2,"[8, 2]",0.3531157402875428,False,False,0.42575378070170256,0.3833057221780449,0.3531157402875428,0.3356407392541789,mixing_high_conflict,exact
8|3,"[8, 3]",0.3531157402875428,False,False,0.42575378070170256,0.3833057221780449,0.3531157402875428,0.3356407392541789,mixing_high_conflict,exact
9|14,"[9, 14]",0.3637404184372011,False,False,0.20620064849785663,0.4100779006883225,0.3637404184372011,0.3085771883595564,mixing_high_conflict,exact
9|9,"[9, 9]",0.37853669757455505,False,False,0.16901673811687173,0.35127342035073317,0.37853669757455505,0.3673816686971457,mixing_high_conflict,exact
14|0,"[14, 0]",0.38125907503272355,False,False,0.20335178495288814,0.5601413705002106,0.38125907503272355,0.2313693860997995,mixing_high_conflict,exact
14|10,"[14, 10]",0.38125907503272366,False,False,0.20335178495288803,0.4601413705002103,0.38125907503272366,0.3313693860997998,mixing_high_conflict,exact
14|15,"[14, 15]",0.38125907503272366,False,False,0.20335178495288803,0.4601413705002103,0.38125907503272366,0.3313693860997998,mixing_high_conflict,exact
14|5,"[14, 5]",0.38125907503272366,False,False,0.20335178495288803,0.4601413705002103,0.38125907503272366,0.3313693860997998,mixing_high_conflict,exact
1|11,"[1, 11]",0.3909005981026679,False,False,0.1796522538007846,0.27945470592871663,0.3909005981026679,0.28094777165965396,mixing_high_conflict,exact
2|11,"[2, 11]",0.3909005981026679,False,False,0.1796522538007846,0.27945470592871663,0.3909005981026679,0.28094777165965396,mixing_high_conflict,exact
3|11,"[3, 11]",0.3909005981026679,False,False,0.1796522538007846,0.27945470592871663,0.3909005981026679,0.28094777165965396,mixing_high_conflict,exact
11|11,"[11, 11]",0.39372149627018227,False,False,0.17683135563327024,0.47967298192928265,0.39372149627018227,0.3803718330325492,mixing_high_conflict,exact
0|0,"[0, 0]",0.39500455906435317,False,False,0.1896063009212585,0.4715321562942107,0.39500455906435317,0.38923735408141796,mixing_high_conflict,exact
6|11,"[6, 11]",0.4162954067674583,False,False,0.1542574451359942,0.43217722507896295,0.4162954067674583,0.39246116387775654,mixing_high_conflict,exact
9|13,"[9, 13]",0.4242454650659642,False,False,0.14336826147909004,0.29440962398191467,0.3698724669304955,0.4242454650659642,mixing_high_conflict,exact
7|11,"[7, 11]",0.424802301749849,False,False,0.14575055015360353,0.378372449348428,0.424802301749849,0.3799632150701055,mixing_high_conflict,exact
14|14,"[14, 14]",0.46321389783246636,False,False,0.10793088936139966,0.3282968587675438,0.4620101775736581,0.46321389783246636,mixing_high_conflict,exact
1|10,"[1, 10]",0.4660296005036849,False,False,0.1185812594819268,0.172174777108808,0.4660296005036849,0.38822770047956257,mixing_high_conflict,exact
1|15,"[1, 15]",0.4660296005036849,False,False,0.1185812594819268,0.172174777108808,0.4660296005036849,0.38822770047956257,mixing_high_conflict,exact
1|5,"[1, 5]",0.4660296005036849,False,False,0.1185812594819268,0.172174777108808,0.4660296005036849,0.38822770047956257,mixing_high_conflict,exact
2|10,"[2, 10]",0.4660296005036849,False,False,0.1185812594819268,0.172174777108808,0.4660296005036849,0.38822770047956257,mixing_high_conflict,exact
