scenario,activation_name,activation_family,activation_slug,num_agents,state_dim,mixing_depth,mean_action_budget,conflict_level,rho,competitive_extension,mean_target_overlap,sample_idx,agent_idx,model_name,regret,exact_best_index,model_best_index
high_conflict,entmax(alpha=1.50),entmax,entmax_a1p50,2,3,2,2.5,high,0.15,False,0.35412812907700864,2,1,ground_truth,0.0,0,0
high_conflict,entmax(alpha=1.50),entmax,entmax_a1p50,2,3,2,2.5,high,0.15,False,0.35412812907700864,2,1,quantum_encoded,0.0,0,0
high_conflict,entmax(alpha=1.50),entmax,entmax_a1p50,2,3,2,2.5,high,0.15,False,0.35412812907700864,2,1,residual_mlp,0.0,0,0
high_conflict,entmax(alpha=1.50),entmax,entmax_a1p50,2,3,2,2.5,high,0.15,False,0.35412812907700864,3,0,ground_truth,0.0,2,2
high_conflict,entmax(alpha=1.50),entmax,entmax_a1p50,2,3,2,2.5,high,0.15,False,0.35412812907700864,3,0,quantum_encoded,0.0,2,2
high_conflict,entmax(alpha=1.50),entmax,entmax_a1p50,2,3,2,2.5,high,0.15,False,0.35412812907700864,3,0,residual_mlp,0.24358950923082465,2,1
high_conflict,entmax(alpha=1.50),entmax,entmax_a1p50,2,3,2,2.5,high,0.15,False,0.35412812907700864,3,1,ground_truth,0.0,1,1
high_conflict,entmax(alpha=1.50),entmax,entmax_a1p50,2,3,2,2.5,high,0.15,False,0.35412812907700864,3,1,quantum_encoded,0.0,1,1
high_conflict,entmax(alpha=1.50),entmax,entmax_a1p50,2,3,2,2.5,high,0.15,False,0.35412812907700864,3,1,residual_mlp,0.0,1,1
high_conflict,entmax(alpha=1.50),entmax,entmax_a1p50,2,3,2,2.5,high,0.15,False,0.35412812907700864,4,0,ground_truth,0.0,3,3
high_conflict,entmax(alpha=1.50),entmax,entmax_a1p50,2,3,2,2.5,high,0.15,False,0.35412812907700864,4,0,quantum_encoded,0.0,3,3
high_conflict,entmax(alpha=1.50),entmax,entmax_a1p50,2,3,2,2.5,high,0.15,False,0.35412812907700864,4,0,residual_mlp,0.0,3,3
high_conflict,entmax(alpha=1.50),entmax,entmax_a1p50,2,3,2,2.5,high,0.15,False,0.35412812907700864,4,1,ground_truth,0.0,2,2
high_conflict,entmax(alpha=1.50),entmax,entmax_a1p50,2,3,2,2.5,high,0.15,False,0.35412812907700864,4,1,quantum_encoded,0.0,2,2
high_conflict,entmax(alpha=1.50),entmax,entmax_a1p50,2,3,2,2.5,high,0.15,False,0.35412812907700864,4,1,residual_mlp,0.0,2,2
